Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSELUG00000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000003	0	628	2371	1469	0	41	80	2547	0	0	0	0	983	50	1302	949	870	6	806	943	1832	0	0	69	34	51	39	35	388	1987	21	0	18	23	11418	46	233	1395	69	56	486	728	0	11	109	0	0	122	93	5016	986	337	0	94	41	4573	5460	0	0	69	2399	445	1280	368	124	0	41	31	921	2395	16	49	5060	9	351	0	0	0	50	8547	8532	1666	1003	67	10	2	7	0	1081	1358	35	0	77	2395	33	454
ENSELUG00000000004	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000005	0	63546	305724	142778	0	275	4730	105113	0	0	0	0	76439	2413	75559	11036	115290	85	55535	65471	128029	0	0	351	171	2757	130	115	30755	89705	191	0	187	97	236100	2713	9554	117507	3803	3293	18766	43968	1	94	474	0	1	527	463	294425	100584	11438	0	5647	1878	357888	129348	0	0	324	183955	33186	92705	16027	9885	1	988	172	52810	162781	119	139	182832	92	11727	0	0	13	203	379747	282310	170230	152952	207	439	46	68	0	66754	13412	358	0	3306	176765	236	4900
ENSELUG00000000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000007	0	3159	7554	3185	0	11	201	2635	0	0	0	0	3353	153	2197	3586	3794	2	1588	2069	3335	0	0	4	5	98	2	5	2769	3187	12	0	5	2	13720	103	467	1570	117	139	887	663	0	5	13	0	0	9	9	6258	4688	965	0	212	76	13596	5533	0	0	9	6649	1840	3987	662	712	0	25	6	1912	3263	2	3	5022	3	1530	0	0	0	12	14170	10049	3642	2809	6	18	2	5	0	2050	2952	12	0	123	4434	13	236
ENSELUG00000000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000011	0	2474	4929	2507	0	6	99	1814	0	0	0	0	2911	89	2103	2168	3897	6	1411	1784	2989	0	0	11	13	54	9	2	2259	1789	6	0	6	6	11820	48	312	1265	67	71	676	544	0	2	15	0	0	25	7	3194	4695	769	0	122	35	18838	4985	0	0	13	7439	1440	2848	412	672	0	21	5	1025	2494	1	1	4094	3	1438	0	0	0	8	14157	8286	3556	3016	4	8	1	3	0	1083	2441	12	0	63	3156	13	141
