Gene_id	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
ENSLOCG00000000001	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000003	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000004	0	0	0	0	0	0	0	0	0	10	11	1	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	18	7	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	3	2	0	0	0	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	4	9	9	0	0	0	0	1	0	0	0	0	6	1	0
ENSLOCG00000000005	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	6	4	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	4	12	0	0	0	0	0	0	0	0	0	1	2	1
ENSLOCG00000000006	0	0	0	1	0	0	1	0	0	332	229	82	0	0	0	0	1	1	0	0	0	80	5	143	0	0	1	0	0	0	0	0	0	157	139	128	4	0	0	0	0	1	0	0	0	29	158	53	0	2	0	0	0	0	0	0	0	65	100	127	1	0	0	0	0	0	0	0	0	92	54	11	0	1	0	3	1	0	0	0	0	163	151	292	0	1	0	0	0	0	0	0	0	152	34	31
ENSLOCG00000000007	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000009	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
ENSLOCG00000000010	0	0	0	0	0	0	0	0	0	70	31	24	1	0	0	1	2	0	0	0	0	30	2	39	0	0	0	0	0	0	0	0	0	55	25	27	1	0	0	1	0	0	0	0	0	14	24	6	0	0	0	1	0	0	0	0	0	14	12	18	0	0	0	0	0	0	0	0	0	13	8	5	0	0	0	0	0	0	0	0	0	39	35	53	0	1	0	0	0	0	0	0	0	33	14	8
ENSLOCG00000000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000012	0	0	1	0	1	2	1	0	0	161	89	53	0	3	0	3	0	0	0	0	0	96	26	108	1	1	0	0	0	2	1	0	0	212	77	62	2	1	1	3	2	1	0	0	0	18	73	35	0	2	0	0	1	0	0	0	0	34	57	67	1	0	0	0	1	0	0	0	0	62	18	19	0	3	2	3	2	0	0	0	0	80	152	161	0	1	0	1	0	0	0	0	0	87	24	24
ENSLOCG00000000013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000017	1	5	2	3	4	11	9	0	0	4390	2171	1636	5	1	4	20	6	9	1	0	0	2688	351	1361	7	5	5	0	1	2	0	0	0	1266	1734	2221	7	8	7	14	7	11	1	0	0	635	2758	1276	0	12	8	11	4	0	0	0	0	1436	1485	1335	17	1	1	2	5	0	0	0	0	792	850	495	2	9	4	12	7	1	0	0	0	2681	1349	4341	4	11	0	2	4	0	0	0	0	3070	762	827
ENSLOCG00000000018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000020	0	0	0	0	0	0	0	0	0	11	4	2	0	0	0	0	0	0	0	0	0	6	1	5	0	0	0	0	0	0	0	0	0	30	13	4	0	0	0	1	0	0	0	0	0	1	8	5	0	0	0	0	0	0	0	0	0	2	4	4	0	0	0	0	0	0	0	0	0	7	5	1	0	0	0	0	0	0	0	0	0	2	15	47	0	0	0	0	0	0	0	0	0	14	2	3
