Gene_id	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
ENSLOCG00000000001	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSLOCG00000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000003	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000004	2	6	15	6	4	3	5	24	5	4	0	0	0	3	4	5	4	9	3	6	1	7	0	0	4	8	6	9	0	5	0	4	1	4	0	0	5	6	11	4	3	8	7	0	10	3	0	0	15	7	10	4	7	5	6	0	8	0	0	0	1	6	5	7	17	9	11	2	6	0	0	0	3	0	3	2	3	16	2	7	13	0	0	0	6	8	10	8	0	3	2	6	7	0	0	0
ENSLOCG00000000005	0	2	3	0	1	0	3	2	1	1	0	0	0	0	0	0	0	2	1	2	2	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	2	0	2	3	1	0	5	0	1	0	0	0	2	2	0	4	0	2	0	0	2	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	4	0	1	1	0	1	1	2	3	0	0	0	3	1	0	2	0	0	0	0	1	0	0	0
ENSLOCG00000000006	126	210	134	117	247	104	238	135	119	135	0	0	5	155	294	148	109	163	188	70	173	32	0	0	192	148	55	12	2	81	1	150	5	171	0	0	174	142	75	211	188	30	184	0	104	203	0	0	123	154	182	173	197	152	189	13	292	0	0	0	44	23	209	137	154	189	39	31	180	0	0	0	48	11	218	192	175	166	151	156	196	0	0	0	388	197	168	223	0	57	99	128	197	0	0	0
ENSLOCG00000000007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
ENSLOCG00000000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000009	1	1	1	0	1	0	1	2	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
ENSLOCG00000000010	22	29	28	30	9	18	25	18	29	16	0	0	0	11	24	16	19	47	27	16	22	13	0	0	17	21	9	7	1	19	2	19	3	34	0	0	35	41	11	36	35	10	22	0	30	38	0	0	35	18	25	36	32	24	26	1	39	0	0	0	8	9	21	23	25	35	10	0	32	0	0	0	7	1	15	33	11	44	32	25	19	0	0	0	33	29	27	23	0	10	12	11	15	0	0	0
ENSLOCG00000000011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000012	48	63	76	93	44	41	64	88	80	40	0	0	1	44	48	50	41	150	47	34	37	53	0	0	33	81	45	47	4	39	5	47	6	40	0	0	60	103	53	43	45	44	67	0	65	50	0	0	97	65	56	50	36	40	63	9	91	0	0	0	15	43	42	55	82	54	52	9	63	0	0	0	44	2	49	64	35	102	41	50	110	0	0	0	101	53	71	91	0	38	31	70	52	0	0	0
ENSLOCG00000000013	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000014	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000017	2653	3849	1088	2086	2249	1043	3037	1118	2868	2369	2	0	102	2175	2746	2771	2695	2856	2764	723	2792	1760	0	0	2341	1528	1757	1284	61	2182	69	3322	138	2225	0	0	2605	3230	2686	3203	2828	1500	1643	1	3058	3287	0	0	1237	2962	1949	2305	2882	2652	3419	141	4427	0	0	0	550	1343	2874	2413	1343	2478	1888	618	3994	0	0	0	1372	171	2398	3053	3114	1449	1666	2713	1997	0	0	0	4122	3112	1807	2059	0	2087	1391	1541	1808	2	0	0
ENSLOCG00000000018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000020	2	5	21	10	20	27	9	15	3	5	0	0	0	20	8	7	8	9	5	12	7	2	0	0	2	8	6	6	1	8	0	5	1	4	0	0	2	6	4	4	3	3	7	0	8	4	0	0	17	7	31	4	0	3	3	1	14	0	0	0	2	6	3	4	9	2	1	2	8	0	0	0	1	1	6	4	5	17	5	2	10	0	0	0	8	8	4	11	0	4	11	4	13	0	0	0
ENSLOCG00000000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000022	17	20	12	8	0	11	17	4	4	2	0	0	1	0	7	34	23	16	14	3	12	1	0	0	1	2	1	0	0	11	0	6	0	1	0	0	0	12	1	3	0	4	11	0	2	4	0	0	8	9	7	2	1	2	17	0	18	0	0	0	1	1	7	11	10	2	1	4	19	0	0	0	0	0	9	17	2	8	1	16	19	0	0	0	26	2	13	13	0	0	5	11	1	0	0	0
ENSLOCG00000000023	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000000024	5	11	13	6	1	4	4	2	8	1	0	0	1	1	1	6	6	24	2	3	2	1	0	0	1	11	3	3	0	8	0	3	2	6	0	0	2	7	3	5	2	2	8	0	2	5	0	0	13	4	1	4	5	4	2	0	7	0	0	0	2	4	6	6	10	2	2	1	2	0	0	0	0	0	1	5	2	8	2	4	7	0	0	0	9	6	3	3	0	1	3	4	0	0	0	0
ENSLOCG00000000025	0	1	4	0	0	2	0	3	1	0	0	0	0	1	1	0	0	1	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSLOCG00000000026	10	1	6	98	2	2	2	3	61	3	0	0	2	0	1	8	4	42	3	1	2	1	0	0	2	0	1	0	0	3	0	0	0	0	0	0	11	34	1	1	2	0	2	0	1	5	0	0	0	6	4	2	1	2	3	0	1	0	0	0	1	1	2	0	1	1	0	0	6	0	0	0	1	0	3	0	0	2	0	6	3	0	0	0	4	7	1	4	0	0	4	1	3	0	0	0
ENSLOCG00000000027	2	5	3	2	3	2	152	3	6	7	0	0	1	2	1	11	3	3	9	2	4	1	0	0	1	2	1	0	0	1	0	2	1	1	0	0	0	2	2	3	1	3	1	0	3	0	0	0	1	12	1	2	2	0	4	3	128	0	0	0	5	1	7	87	1	6	1	20	14	0	0	0	0	0	113	10	2	2	1	9	1	0	0	0	158	1	4	4	0	1	2	0	1	0	0	0
