Gene name	Gene stable ID	Gene type
fam162a	ENSDARG00000063344	protein_coding
si:ch211-235i11.3	ENSDARG00000097685	protein_coding
caly	ENSDARG00000036008	protein_coding
tmem177	ENSDARG00000069301	protein_coding
ostc	ENSDARG00000104901	protein_coding
vps37c	ENSDARG00000031836	protein_coding
rab9b	ENSDARG00000103391	protein_coding
tppp3	ENSDARG00000030463	protein_coding
znf1029	ENSDARG00000103031	protein_coding
slc39a9	ENSDARG00000070447	protein_coding
kif16bb	ENSDARG00000080018	protein_coding
mtx1b	ENSDARG00000036109	protein_coding
gpkow	ENSDARG00000029612	protein_coding
samd4a	ENSDARG00000075759	protein_coding
CABZ01100185.1	ENSDARG00000068484	processed_transcript
wdr34	ENSDARG00000057635	protein_coding
gria3a	ENSDARG00000032737	protein_coding
EML5	ENSDARG00000053517	protein_coding
zgc:174354	ENSDARG00000111826	protein_coding
BX537137.2	ENSDARG00000098335	processed_transcript
CR847503.1	ENSDARG00000092715	lincRNA
AL954317.1	ENSDARG00000095834	processed_transcript
creb3l1	ENSDARG00000015793	protein_coding
cdc42	ENSDARG00000044573	protein_coding
syt2a	ENSDARG00000025206	protein_coding
tspan33b	ENSDARG00000042189	protein_coding
adamts13	ENSDARG00000076270	protein_coding
gnal	ENSDARG00000045415	protein_coding
si:dkey-238o14.1	ENSDARG00000100099	protein_coding
tmem240a	ENSDARG00000087916	protein_coding
foxo3a	ENSDARG00000023058	protein_coding
osmr	ENSDARG00000100738	protein_coding
BX293559.1	ENSDARG00000097888	lincRNA
parvg	ENSDARG00000067711	protein_coding
si:ch211-198m17.1	ENSDARG00000091834	protein_coding
dnah3	ENSDARG00000068468	protein_coding
or104-1	ENSDARG00000101806	protein_coding
CR769769.2	ENSDARG00000105445	processed_transcript
ap5b1	ENSDARG00000078805	protein_coding
nhej1	ENSDARG00000058893	protein_coding
si:dkeyp-69b9.3	ENSDARG00000088881	protein_coding
si:dkey-85n7.7	ENSDARG00000095893	protein_coding
nlgn3b	ENSDARG00000062376	protein_coding
pitpnaa	ENSDARG00000039490	protein_coding
ctu1	ENSDARG00000020986	protein_coding
nitr12	ENSDARG00000098626	protein_coding
wfdc2	ENSDARG00000089187	protein_coding
si:dkey-157e10.8	ENSDARG00000101165	protein_coding
stx5al	ENSDARG00000003175	protein_coding
si:dkeyp-68b7.12	ENSDARG00000074846	protein_coding
ldlrb	ENSDARG00000026759	protein_coding
BX465836.1	ENSDARG00000098213	processed_transcript
kif7	ENSDARG00000033099	protein_coding
BX119902.2	ENSDARG00000096970	antisense
narf	ENSDARG00000024184	protein_coding
CR376751.1	ENSDARG00000076901	processed_transcript
nrap	ENSDARG00000009341	protein_coding
or108-2	ENSDARG00000100546	protein_coding
gpr155a	ENSDARG00000090804	protein_coding
snx27b	ENSDARG00000016977	protein_coding
alcamb	ENSDARG00000058538	protein_coding
hamp	ENSDARG00000102175	protein_coding
nt5c1ba	ENSDARG00000018153	protein_coding
araf	ENSDARG00000054533	protein_coding
BX005065.1	ENSDARG00000092243	lincRNA
isca2	ENSDARG00000038154	protein_coding
si:dkey-33c9.6	ENSDARG00000036420	protein_coding
rptor	ENSDARG00000098726	protein_coding
zgc:174180	ENSDARG00000098677	protein_coding
BX842692.1	ENSDARG00000096511	sense_intronic
C1H7orf26	ENSDARG00000037652	protein_coding
camkva	ENSDARG00000027963	protein_coding
si:ch211-149e23.4	ENSDARG00000097726	protein_coding
FO834831.1	ENSDARG00000105456	lincRNA
AL845324.2	ENSDARG00000095680	processed_transcript
plod2	ENSDARG00000011821	protein_coding
si:ch211-122l14.7	ENSDARG00000095576	protein_coding
tmem54b	ENSDARG00000035875	protein_coding
rpgrb	ENSDARG00000057074	protein_coding
crfb16	ENSDARG00000075181	protein_coding
tor1	ENSDARG00000077950	protein_coding
flrt2	ENSDARG00000079355	protein_coding
rasgef1bb	ENSDARG00000044251	protein_coding
si:ch211-276a17.5	ENSDARG00000096398	protein_coding
pxmp2	ENSDARG00000003144	protein_coding
tmem214	ENSDARG00000016968	protein_coding
fa2h	ENSDARG00000090063	protein_coding
ndufb7	ENSDARG00000033789	protein_coding
ctdp1	ENSDARG00000017522	protein_coding
ankhd1	ENSDARG00000077860	protein_coding
CR354383.1	ENSDARG00000097025	antisense
trim35-31	ENSDARG00000052097	protein_coding
traj55	ENSDARG00000098675	TR_J_gene
cyp27b1	ENSDARG00000045015	protein_coding
si:ch73-281i18.6	ENSDARG00000101490	protein_coding
slc7a10a	ENSDARG00000008100	protein_coding
mrpl51	ENSDARG00000041340	protein_coding
pimr190	ENSDARG00000087757	protein_coding
BX908796.2	ENSDARG00000110990	lincRNA
si:dkey-149i17.8	ENSDARG00000092491	protein_coding
frs2a	ENSDARG00000045873	protein_coding
usp43b	ENSDARG00000088072	protein_coding
si:dkeyp-100h4.8	ENSDARG00000096208	protein_coding
asmt2	ENSDARG00000070874	protein_coding
CU464087.1	ENSDARG00000105588	unprocessed_pseudogene
ipp	ENSDARG00000075339	processed_transcript
usp3	ENSDARG00000045641	protein_coding
hmgcs1	ENSDARG00000103025	protein_coding
