Gene name	Gene stable ID	Gene type
	ENSELUG00000000002	Mt_tRNA
	ENSELUG00000000003	Mt_rRNA
	ENSELUG00000000004	Mt_tRNA
	ENSELUG00000000005	Mt_rRNA
	ENSELUG00000000006	Mt_tRNA
ND1	ENSELUG00000000007	protein_coding
	ENSELUG00000000008	Mt_tRNA
	ENSELUG00000000009	Mt_tRNA
	ENSELUG00000000010	Mt_tRNA
ND2	ENSELUG00000000011	protein_coding
	ENSELUG00000000012	Mt_tRNA
	ENSELUG00000000013	Mt_tRNA
	ENSELUG00000000014	Mt_tRNA
	ENSELUG00000000015	Mt_tRNA
	ENSELUG00000000016	Mt_tRNA
COX1	ENSELUG00000000017	protein_coding
	ENSELUG00000000018	Mt_tRNA
	ENSELUG00000000019	Mt_tRNA
COX2	ENSELUG00000000020	protein_coding
	ENSELUG00000000021	Mt_tRNA
ATP8	ENSELUG00000000022	protein_coding
ATP6	ENSELUG00000000023	protein_coding
COX3	ENSELUG00000000024	protein_coding
	ENSELUG00000000025	Mt_tRNA
ND3	ENSELUG00000000026	protein_coding
	ENSELUG00000000027	Mt_tRNA
ND4L	ENSELUG00000000028	protein_coding
ND4	ENSELUG00000000029	protein_coding
	ENSELUG00000000030	Mt_tRNA
	ENSELUG00000000031	Mt_tRNA
	ENSELUG00000000032	Mt_tRNA
ND5	ENSELUG00000000033	protein_coding
ND6	ENSELUG00000000034	protein_coding
	ENSELUG00000000035	Mt_tRNA
CYTB	ENSELUG00000000036	protein_coding
	ENSELUG00000000037	Mt_tRNA
	ENSELUG00000000038	Mt_tRNA
	ENSELUG00000021868	protein_coding
	ENSELUG00000004647	protein_coding
B3GNT3	ENSELUG00000002711	protein_coding
	ENSELUG00000026536	protein_coding
5S_rRNA	ENSELUG00000027970	rRNA
rnf152	ENSELUG00000012766	protein_coding
	ENSELUG00000000363	protein_coding
	ENSELUG00000022106	protein_coding
	ENSELUG00000031323	lncRNA
aasdhppt	ENSELUG00000012045	protein_coding
rap2b	ENSELUG00000032815	protein_coding
opn7a	ENSELUG00000002161	protein_coding
	ENSELUG00000033648	protein_coding
	ENSELUG00000026923	protein_coding
IL8	ENSELUG00000029003	protein_coding
	ENSELUG00000022514	protein_coding
zgc:123010	ENSELUG00000022008	protein_coding
hykk.1	ENSELUG00000005381	protein_coding
bcl10	ENSELUG00000024366	protein_coding
NT5C3B	ENSELUG00000001041	protein_coding
	ENSELUG00000016176	protein_coding
lpxn	ENSELUG00000015150	protein_coding
	ENSELUG00000005437	protein_coding
5S_rRNA	ENSELUG00000025100	rRNA
lins1	ENSELUG00000024164	protein_coding
	ENSELUG00000005138	protein_coding
MORC3	ENSELUG00000030840	protein_coding
emx3	ENSELUG00000022399	protein_coding
MOCOS	ENSELUG00000019797	protein_coding
fam214a	ENSELUG00000004563	protein_coding
	ENSELUG00000032651	lncRNA
	ENSELUG00000015886	protein_coding
	ENSELUG00000000614	protein_coding
	ENSELUG00000007388	protein_coding
aatkb	ENSELUG00000010009	protein_coding
cyp2p6	ENSELUG00000005369	protein_coding
5S_rRNA	ENSELUG00000033829	rRNA
hes6	ENSELUG00000006586	protein_coding
	ENSELUG00000032204	lncRNA
	ENSELUG00000030206	lncRNA
ltc4s	ENSELUG00000021842	protein_coding
	ENSELUG00000016936	protein_coding
npat	ENSELUG00000019191	protein_coding
	ENSELUG00000030768	lncRNA
	ENSELUG00000006537	protein_coding
zgc:152774	ENSELUG00000005864	protein_coding
msantd4	ENSELUG00000012029	protein_coding
rab4b	ENSELUG00000013817	protein_coding
5S_rRNA	ENSELUG00000024906	rRNA
LPL	ENSELUG00000014351	protein_coding
	ENSELUG00000015061	protein_coding
onecut1	ENSELUG00000004580	protein_coding
	ENSELUG00000022391	protein_coding
5S_rRNA	ENSELUG00000029520	rRNA
	ENSELUG00000012755	protein_coding
	ENSELUG00000033040	protein_coding
	ENSELUG00000029151	protein_coding
RAB8B	ENSELUG00000016862	protein_coding
ccdc102a	ENSELUG00000020229	protein_coding
	ENSELUG00000029993	protein_coding
arfip2a	ENSELUG00000006852	protein_coding
	ENSELUG00000004638	protein_coding
5S_rRNA	ENSELUG00000033959	rRNA
cers3a	ENSELUG00000024273	protein_coding
	ENSELUG00000026744	protein_coding
	ENSELUG00000005408	protein_coding
	ENSELUG00000034701	protein_coding
nmur1a	ENSELUG00000005346	protein_coding
5S_rRNA	ENSELUG00000030547	rRNA
MYOCD	ENSELUG00000022024	protein_coding
buc	ENSELUG00000012740	protein_coding
	ENSELUG00000006504	protein_coding
GM2A	ENSELUG00000022382	protein_coding
pkdcca	ENSELUG00000016230	protein_coding
	ENSELUG00000034044	protein_coding
5S_rRNA	ENSELUG00000027026	rRNA
	ENSELUG00000025868	protein_coding
si:dkey-35i13.1	ENSELUG00000016926	protein_coding
maml1	ENSELUG00000021776	protein_coding
	ENSELUG00000030671	protein_coding
5S_rRNA	ENSELUG00000025157	rRNA
	ENSELUG00000012118	protein_coding
tctex1d2	ENSELUG00000005329	protein_coding
5S_rRNA	ENSELUG00000027872	rRNA
	ENSELUG00000022351	protein_coding
prpf19	ENSELUG00000004578	protein_coding
5S_rRNA	ENSELUG00000025286	rRNA
	ENSELUG00000001743	protein_coding
	ENSELUG00000034459	protein_coding
sst1.2	ENSELUG00000025791	protein_coding
fhdc4	ENSELUG00000006816	protein_coding
5S_rRNA	ENSELUG00000030020	rRNA
	ENSELUG00000025675	protein_coding
	ENSELUG00000014605	protein_coding
ap2s1	ENSELUG00000013793	protein_coding
5S_rRNA	ENSELUG00000034472	rRNA
	ENSELUG00000004137	protein_coding
	ENSELUG00000029784	protein_coding
p2ry1	ENSELUG00000001744	protein_coding
	ENSELUG00000005354	protein_coding
5S_rRNA	ENSELUG00000029015	rRNA
	ENSELUG00000005315	protein_coding
si:ch211-106h4.6	ENSELUG00000022049	protein_coding
adgrg1	ENSELUG00000020340	protein_coding
	ENSELUG00000028578	protein_coding
pyroxd2	ENSELUG00000022056	protein_coding
si:ch211-117n7.7	ENSELUG00000019869	protein_coding
	ENSELUG00000000145	protein_coding
	ENSELUG00000028036	protein_coding
	ENSELUG00000025649	miRNA
	ENSELUG00000006525	protein_coding
	ENSELUG00000014674	protein_coding
	ENSELUG00000012702	protein_coding
prph2b	ENSELUG00000016256	protein_coding
sst1.1	ENSELUG00000004191	protein_coding
	ENSELUG00000027991	lncRNA
	ENSELUG00000020358	protein_coding
	ENSELUG00000005288	protein_coding
	ENSELUG00000027366	lncRNA
arhgap35a	ENSELUG00000013772	protein_coding
	ENSELUG00000030744	protein_coding
	ENSELUG00000025697	protein_coding
	ENSELUG00000000366	protein_coding
casp20	ENSELUG00000005348	protein_coding
	ENSELUG00000026332	pseudogene
SLC29A1	ENSELUG00000015955	protein_coding
	ENSELUG00000019311	protein_coding
masp1	ENSELUG00000001652	protein_coding
	ENSELUG00000033053	protein_coding
si:ch211-106h4.9	ENSELUG00000022013	protein_coding
	ENSELUG00000001705	protein_coding
	ENSELUG00000025700	protein_coding
grik1b	ENSELUG00000024632	protein_coding
	ENSELUG00000027375	protein_coding
npas1	ENSELUG00000034542	protein_coding
	ENSELUG00000025243	protein_coding
	ENSELUG00000004664	protein_coding
map2k4b	ENSELUG00000021939	protein_coding
	ENSELUG00000014613	protein_coding
catip	ENSELUG00000005308	protein_coding
	ENSELUG00000005207	protein_coding
	ENSELUG00000010034	protein_coding
mcoln3a	ENSELUG00000024357	protein_coding
fcho1	ENSELUG00000015040	protein_coding
	ENSELUG00000013751	lncRNA
alg6	ENSELUG00000022163	protein_coding
ostn	ENSELUG00000006627	protein_coding
	ENSELUG00000019287	protein_coding
canx	ENSELUG00000021763	protein_coding
ap1m1	ENSELUG00000014308	protein_coding
tmem160	ENSELUG00000013720	protein_coding
tradv22.0	ENSELUG00000010916	protein_coding
MBNL1	ENSELUG00000010028	protein_coding
	ENSELUG00000032642	protein_coding
adamts17	ENSELUG00000024363	protein_coding
	ENSELUG00000025310	lncRNA
	ENSELUG00000022076	protein_coding
	ENSELUG00000031485	protein_coding
tmbim1a	ENSELUG00000000144	protein_coding
	ENSELUG00000014665	protein_coding
egln2	ENSELUG00000013701	protein_coding
	ENSELUG00000034415	protein_coding
XKR4	ENSELUG00000012572	protein_coding
	ENSELUG00000028400	pseudogene
	ENSELUG00000022066	protein_coding
si:ch73-71c20.5	ENSELUG00000005190	protein_coding
	ENSELUG00000019273	protein_coding
tmem68	ENSELUG00000012562	protein_coding
	ENSELUG00000006512	protein_coding
	ENSELUG00000000368	protein_coding
gmnc	ENSELUG00000007802	protein_coding
ackr4a	ENSELUG00000021952	protein_coding
	ENSELUG00000030833	protein_coding
	ENSELUG00000004554	protein_coding
e2f5	ENSELUG00000021935	protein_coding
	ENSELUG00000014685	protein_coding
rubcn	ENSELUG00000005171	protein_coding
per2	ENSELUG00000006542	protein_coding
lyn	ENSELUG00000012537	protein_coding
atm	ENSELUG00000019146	protein_coding
	ENSELUG00000022178	protein_coding
	ENSELUG00000014693	protein_coding
5S_rRNA	ENSELUG00000007827	rRNA
adprm	ENSELUG00000021889	protein_coding
psmd2	ENSELUG00000015058	protein_coding
cep131	ENSELUG00000010182	protein_coding
	ENSELUG00000022237	protein_coding
tnni3k	ENSELUG00000015819	protein_coding
ints6l	ENSELUG00000009676	protein_coding
5S_rRNA	ENSELUG00000007821	rRNA
	ENSELUG00000031349	protein_coding
lrrcc1	ENSELUG00000021839	protein_coding
klhdc3	ENSELUG00000019225	protein_coding
LRP8	ENSELUG00000005115	protein_coding
	ENSELUG00000028079	protein_coding
	ENSELUG00000031411	protein_coding
slc1a5	ENSELUG00000013665	protein_coding
abcg1	ENSELUG00000016910	protein_coding
5S_rRNA	ENSELUG00000024813	rRNA
