Gene name	Gene stable ID	Gene type
b4galt3	ENSLOCG00000000001	protein_coding
	ENSLOCG00000000002	protein_coding
slc25a22a	ENSLOCG00000000003	protein_coding
gatd1	ENSLOCG00000000004	protein_coding
cnot3b	ENSLOCG00000000005	protein_coding
taldo1	ENSLOCG00000000006	protein_coding
prpf31	ENSLOCG00000000007	protein_coding
tspan4a	ENSLOCG00000000008	protein_coding
	ENSLOCG00000000009	protein_coding
chid1	ENSLOCG00000000010	protein_coding
zgc:158689	ENSLOCG00000000011	protein_coding
ddb1	ENSLOCG00000000012	protein_coding
	ENSLOCG00000000013	protein_coding
	ENSLOCG00000000014	protein_coding
	ENSLOCG00000000015	protein_coding
si:ch211-120k19.1	ENSLOCG00000000016	protein_coding
rpl18	ENSLOCG00000000017	protein_coding
	ENSLOCG00000000018	protein_coding
	ENSLOCG00000000019	protein_coding
	ENSLOCG00000000020	protein_coding
wnt9b	ENSLOCG00000000021	protein_coding
slc16a12a	ENSLOCG00000000022	protein_coding
pank1b	ENSLOCG00000000023	protein_coding
zgc:65997	ENSLOCG00000000024	protein_coding
htr7a	ENSLOCG00000000025	protein_coding
kif20bb	ENSLOCG00000000026	protein_coding
	ENSLOCG00000000027	protein_coding
	ENSLOCG00000000028	protein_coding
	ENSLOCG00000000029	protein_coding
	ENSLOCG00000000030	protein_coding
rpp30	ENSLOCG00000000031	protein_coding
	ENSLOCG00000000032	protein_coding
	ENSLOCG00000000033	protein_coding
	ENSLOCG00000000034	protein_coding
ankrd1a	ENSLOCG00000000035	protein_coding
	ENSLOCG00000000036	protein_coding
	ENSLOCG00000000037	protein_coding
	ENSLOCG00000000038	protein_coding
	ENSLOCG00000000039	protein_coding
pcgf5a	ENSLOCG00000000040	protein_coding
	ENSLOCG00000000041	protein_coding
	ENSLOCG00000000042	protein_coding
hectd2	ENSLOCG00000000043	protein_coding
	ENSLOCG00000000044	protein_coding
NDUFV1	ENSLOCG00000000045	protein_coding
mapk7	ENSLOCG00000000046	protein_coding
	ENSLOCG00000000047	protein_coding
vkorc1	ENSLOCG00000000048	protein_coding
	ENSLOCG00000000049	protein_coding
fus	ENSLOCG00000000050	protein_coding
	ENSLOCG00000000051	protein_coding
	ENSLOCG00000000052	protein_coding
	ENSLOCG00000000053	protein_coding
	ENSLOCG00000000054	protein_coding
	ENSLOCG00000000055	protein_coding
	ENSLOCG00000000056	protein_coding
	ENSLOCG00000000057	protein_coding
	ENSLOCG00000000058	protein_coding
	ENSLOCG00000000059	protein_coding
C4orf54	ENSLOCG00000000060	protein_coding
	ENSLOCG00000000061	protein_coding
	ENSLOCG00000000062	protein_coding
	ENSLOCG00000000063	protein_coding
	ENSLOCG00000000064	protein_coding
	ENSLOCG00000000065	protein_coding
	ENSLOCG00000000066	protein_coding
	ENSLOCG00000000067	protein_coding
	ENSLOCG00000000068	protein_coding
	ENSLOCG00000000069	protein_coding
	ENSLOCG00000000070	protein_coding
hsp90aa1.2	ENSLOCG00000000071	protein_coding
	ENSLOCG00000000072	protein_coding
	ENSLOCG00000000073	protein_coding
thop1	ENSLOCG00000000074	protein_coding
	ENSLOCG00000000075	protein_coding
	ENSLOCG00000000076	protein_coding
	ENSLOCG00000000077	protein_coding
b4galt1l	ENSLOCG00000000078	protein_coding
	ENSLOCG00000000079	protein_coding
	ENSLOCG00000000080	protein_coding
cd2bp2	ENSLOCG00000000081	protein_coding
	ENSLOCG00000000082	protein_coding
	ENSLOCG00000000083	protein_coding
	ENSLOCG00000000084	protein_coding
sin3b	ENSLOCG00000000085	protein_coding
	ENSLOCG00000000086	protein_coding
	ENSLOCG00000000087	protein_coding
	ENSLOCG00000000088	protein_coding
slc32a1	ENSLOCG00000000089	protein_coding
	ENSLOCG00000000090	protein_coding
	ENSLOCG00000000091	protein_coding
PRF1	ENSLOCG00000000092	protein_coding
rtca	ENSLOCG00000000093	protein_coding
ticam1	ENSLOCG00000000094	protein_coding
	ENSLOCG00000000095	protein_coding
	ENSLOCG00000000096	protein_coding
uhrf1	ENSLOCG00000000097	protein_coding
	ENSLOCG00000000098	protein_coding
	ENSLOCG00000000099	protein_coding
	ENSLOCG00000000100	protein_coding
	ENSLOCG00000000101	protein_coding
	ENSLOCG00000000102	protein_coding
cdc14ab	ENSLOCG00000000103	protein_coding
	ENSLOCG00000000104	protein_coding
kdm4b	ENSLOCG00000000105	protein_coding
	ENSLOCG00000000106	protein_coding
	ENSLOCG00000000107	protein_coding
	ENSLOCG00000000108	protein_coding
	ENSLOCG00000000109	protein_coding
	ENSLOCG00000000110	protein_coding
	ENSLOCG00000000111	protein_coding
	ENSLOCG00000000112	protein_coding
	ENSLOCG00000000113	protein_coding
	ENSLOCG00000000114	protein_coding
	ENSLOCG00000000115	protein_coding
GPR88	ENSLOCG00000000116	protein_coding
	ENSLOCG00000000117	protein_coding
	ENSLOCG00000000118	protein_coding
	ENSLOCG00000000119	protein_coding
ptprsa	ENSLOCG00000000120	protein_coding
	ENSLOCG00000000121	protein_coding
	ENSLOCG00000000122	protein_coding
	ENSLOCG00000000123	protein_coding
ubl3a	ENSLOCG00000000124	protein_coding
	ENSLOCG00000000125	protein_coding
	ENSLOCG00000000126	protein_coding
	ENSLOCG00000000127	protein_coding
	ENSLOCG00000000128	protein_coding
	ENSLOCG00000000129	protein_coding
vcam1b	ENSLOCG00000000130	protein_coding
	ENSLOCG00000000131	protein_coding
	ENSLOCG00000000132	protein_coding
STK32B	ENSLOCG00000000133	protein_coding
	ENSLOCG00000000134	protein_coding
thoc6	ENSLOCG00000000135	protein_coding
smim14	ENSLOCG00000000136	protein_coding
	ENSLOCG00000000137	protein_coding
si:dkeyp-27c8.2	ENSLOCG00000000138	protein_coding
	ENSLOCG00000000139	protein_coding
	ENSLOCG00000000140	protein_coding
	ENSLOCG00000000141	protein_coding
	ENSLOCG00000000142	protein_coding
	ENSLOCG00000000143	protein_coding
	ENSLOCG00000000144	protein_coding
extl2	ENSLOCG00000000145	protein_coding
	ENSLOCG00000000146	protein_coding
	ENSLOCG00000000147	protein_coding
	ENSLOCG00000000148	protein_coding
katnal1	ENSLOCG00000000149	protein_coding
rem2	ENSLOCG00000000150	protein_coding
