Species	Project	ExtBatch	SeqBatch	ProjectSeqBatch	Batch	Barcode	SampleID	SampleName	IndID	SexID	Sex	TissueID	Tissue
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	A01	DRE_F02_T03	F02_brain	DRE04	F02	F	T03	brain
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	B01	DRE_F02_T10	F02_intestine	DRE04	F02	F	T10	intestine
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	C01	DRE_F04_T07	F04_pectoral_fin	DRE06	F04	F	T07	pectoral_fin
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	D01	DRE_F06_T04	F06_liver	DRE08	F06	F	T04	liver
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	E01	DRE_F08_T01	F08_gills	DRE13	F08	F	T01	gills
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	F01	DRE_F08_T08	F08_kidney	DRE13	F08	F	T08	kidney
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	G01	DRE_F09_T03	F09_brain	DRE15	F09	F	T03	brain
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	H01	DRE_F09_T10	F09_intestine	DRE15	F09	F	T10	intestine
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	A02	DRE_F10_T05	F10_skin	DRE16	F10	F	T05	skin
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	B02	DRE_F10_T12	F10_gonads	DRE16	F10	F	T12	gonads
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	C02	DRE_F11_T07	F11_pectoral_fin	DRE21	F11	F	T07	pectoral_fin
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	D02	DRE_F13_T04	F13_liver	DRE23	F13	F	T04	liver
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	E02	DRE_M01_T06	M01_eye	DRE02	M01	M	T06	eye
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	F02	DRE_M02_T01	M02_gills	DRE03	M02	M	T01	gills
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	G02	DRE_M03_T03	M03_brain	DRE09	M03	M	T03	brain
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	H02	DRE_M03_T10	M03_intestine	DRE09	M03	M	T10	intestine
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	A03	DRE_M04_T05	M04_skin	DRE10	M04	M	T05	skin
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	B03	DRE_M04_T12	M04_gonads	DRE10	M04	M	T12	gonads
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	C03	DRE_M05_T07	M05_pectoral_fin	DRE11	M05	M	T07	pectoral_fin
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	D03	DRE_M07_T04	M07_liver	DRE17	M07	M	T04	liver
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	E03	DRE_M08_T06	M08_eye	DRE18	M08	M	T06	eye
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	F03	DRE_M09_T01	M09_gills	DRE19	M09	M	T01	gills
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	G03	DRE_M09_T08	M09_kidney	DRE19	M09	M	T08	kidney
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	H03	DRE_M10_T03	M10_brain	DRE20	M10	M	T03	brain
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	A04	DRE_M10_T10	M10_intestine	DRE20	M10	M	T10	intestine
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	B04	DRE_M11_T05	M11_skin	DRE24	M11	M	T05	skin
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	C04	DRE_M11_T12	M11_gonads	DRE24	M11	M	T12	gonads
Danio_rerio	AMP0020	D1	S1	AMP0020_S1	AMP0020_D1_S1	D04	DRE_M12_T07	M12_pectoral_fin	DRE25	M12	M	T07	pectoral_fin
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	E04	DRE_F02_T04	F02_liver	DRE04	F02	F	T04	liver
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	F04	DRE_F03_T06	F03_eye	DRE05	F03	F	T06	eye
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	G04	DRE_F05_T03	F05_brain	DRE07	F05	F	T03	brain
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	H04	DRE_F05_T10	F05_intestine	DRE07	F05	F	T10	intestine
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	A05	DRE_F06_T05	F06_skin	DRE08	F06	F	T05	skin
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	B05	DRE_F06_T12	F06_gonads	DRE08	F06	F	T12	gonads
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	C05	DRE_F07_T07	F07_pectoral_fin	DRE12	F07	F	T07	pectoral_fin
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	D05	DRE_F09_T04	F09_liver	DRE15	F09	F	T04	liver
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	E05	DRE_F11_T01	F11_gills	DRE21	F11	F	T01	gills
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	F05	DRE_F12_T03	F12_brain	DRE22	F12	F	T03	brain
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	G05	DRE_F12_T10	F12_intestine	DRE22	F12	F	T10	intestine
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	H05	DRE_F13_T05	F13_skin	DRE23	F13	F	T05	skin
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	A06	DRE_F13_T12	F13_gonads	DRE23	F13	F	T12	gonads
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	B06	DRE_M01_T07	M01_pectoral_fin	DRE02	M01	M	T07	pectoral_fin
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	C06	DRE_M03_T04	M03_liver	DRE09	M03	M	T04	liver
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	D06	DRE_M04_T06	M04_eye	DRE10	M04	M	T06	eye
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	E06	DRE_M05_T01	M05_gills	DRE11	M05	M	T01	gills
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	F06	DRE_M05_T08	M05_kidney	DRE11	M05	M	T08	kidney
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	G06	DRE_M06_T03	M06_brain	DRE14	M06	M	T03	brain
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	H06	DRE_M06_T10	M06_intestine	DRE14	M06	M	T10	intestine
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	A07	DRE_M07_T05	M07_skin	DRE17	M07	M	T05	skin
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	B07	DRE_M07_T12	M07_gonads	DRE17	M07	M	T12	gonads
Danio_rerio	AMP0020	D2	S1	AMP0020_S1	AMP0020_D2_S1	C07	DRE_M08_T07	M08_pectoral_fin	DRE18	M08	M	T07	pectoral_fin
