Species	Project	SeqBatch	ProjectSeqBatch	Batch	Barcode	SampleID	SampleName	IndID	SexID	Sex	TissueID	Tissue
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	A01	ELU_F01_T12	F01_gonads	ELU01	F01	F	T12	gonads
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	B01	ELU_F01_T06	F01_liver	ELU01	F01	F	T06	liver
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	C01	ELU_F01_T17	F01_eye	ELU01	F01	F	T17	eye
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	D01	ELU_F02_T03	F02_gills	ELU02	F02	F	T03	gills
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	E01	ELU_F02_T08	F02_pectoral_fin	ELU02	F02	F	T08	pectoral_fin
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	F01	ELU_F03_T12	F03_gonads	ELU03	F03	F	T12	gonads
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	G01	ELU_F03_T06	F03_liver	ELU03	F03	F	T06	liver
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	H01	ELU_F03_T17	F03_eye	ELU03	F03	F	T17	eye
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	A02	ELU_F04_T03	F04_gills	ELU04	F04	F	T03	gills
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	B02	ELU_F04_T08	F04_pectoral_fin	ELU04	F04	F	T08	pectoral_fin
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	C02	ELU_F04_T30	F04_blood	ELU04	F04	F	T30	blood
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	D02	ELU_F05_T05	F05_muscle	ELU05	F05	F	T05	muscle
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	E02	ELU_F05_T16	F05_skin	ELU05	F05	F	T16	skin
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	F02	ELU_F06_T02	F06_brain	ELU06	F06	F	T02	brain
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	G02	ELU_F06_T07	F06_kidney	ELU06	F06	F	T07	kidney
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	H02	ELU_F06_T18	F06_swim_bladder	ELU06	F06	F	T18	swim_bladder
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	A03	ELU_F07_T04	F07_heart	ELU07	F07	F	T04	heart
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	B03	ELU_F07_T09	F07_intestine	ELU07	F07	F	T09	intestine
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	C03	ELU_F08_T12	F08_gonads	ELU08	F08	F	T12	gonads
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	D03	ELU_F08_T06	F08_liver	ELU08	F08	F	T06	liver
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	E03	ELU_F08_T17	F08_eye	ELU08	F08	F	T17	eye
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	F03	ELU_F09_T03	F09_gills	ELU09	F09	F	T03	gills
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	G03	ELU_F09_T08	F09_pectoral_fin	ELU09	F09	F	T08	pectoral_fin
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	H03	ELU_F09_T30	F09_blood	ELU09	F09	F	T30	blood
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	A04	ELU_F10_T05	F10_muscle	ELU10	F10	F	T05	muscle
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	B04	ELU_F10_T16	F10_skin	ELU10	F10	F	T16	skin
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	C04	ELU_M01_T02	M01_brain	ELU01	M01	M	T02	brain
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	D04	ELU_M01_T07	M01_kidney	ELU01	M01	M	T07	kidney
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	E04	ELU_M01_T18	M01_swim_bladder	ELU01	M01	M	T18	swim_bladder
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	F04	ELU_M02_T04	M02_heart	ELU02	M02	M	T04	heart
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	G04	ELU_M02_T09	M02_intestine	ELU02	M02	M	T09	intestine
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	H04	ELU_M03_T13	M03_gonads	ELU03	M03	M	T13	gonads
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	A05	ELU_M03_T06	M03_liver	ELU03	M03	M	T06	liver
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	B05	ELU_M03_T17	M03_eye	ELU03	M03	M	T17	eye
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	C05	ELU_M04_T03	M04_gills	ELU04	M04	M	T03	gills
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	D05	ELU_M04_T08	M04_pectoral_fin	ELU04	M04	M	T08	pectoral_fin
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	F05	ELU_M05_T05	M05_muscle	ELU05	M05	M	T05	muscle
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	G05	ELU_M05_T16	M05_skin	ELU05	M05	M	T16	skin
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	H05	ELU_M06_T02	M06_brain	ELU06	M06	M	T02	brain
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	A06	ELU_M06_T07	M06_kidney	ELU06	M06	M	T07	kidney
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	B06	ELU_M06_T18	M06_swim_bladder	ELU06	M06	M	T18	swim_bladder
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	C06	ELU_M07_T04	M07_heart	ELU07	M07	M	T04	heart
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	D06	ELU_M07_T09	M07_intestine	ELU07	M07	M	T09	intestine
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	F06	ELU_M08_T06	M08_liver	ELU08	M08	M	T06	liver
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	E06	ELU_M08_T13	M08_gonads	ELU08	M08	M	T13	gonads
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	G06	ELU_M08_T17	M08_eye	ELU08	M08	M	T17	eye
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	H06	ELU_M09_T03	M09_gills	ELU09	M09	M	T03	gills
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	A07	ELU_M09_T08	M09_pectoral_fin	ELU09	M09	M	T08	pectoral_fin
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	B07	ELU_M09_T30	M09_blood	ELU09	M09	M	T30	blood
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	C07	ELU_M10_T05	M10_muscle	ELU10	M10	M	T05	muscle
Esox_lucius	AG0012	S1	AG0012_S1	AG0012_S1	D07	ELU_M10_T16	M10_skin	ELU10	M10	M	T16	skin
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	A01	ELU_F01_T02	F01_brain	ELU01	F01	F	T02	brain
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	B01	ELU_F01_T07	F01_kidney	ELU01	F01	F	T07	kidney
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	C01	ELU_F01_T18	F01_swim_bladder	ELU01	F01	F	T18	swim_bladder
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	D01	ELU_F02_T04	F02_heart	ELU02	F02	F	T04	heart
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	E01	ELU_F02_T09	F02_intestine	ELU02	F02	F	T09	intestine
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	F01	ELU_F03_T02	F03_brain	ELU03	F03	F	T02	brain
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	G01	ELU_F03_T07	F03_kidney	ELU03	F03	F	T07	kidney
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	H01	ELU_F03_T18	F03_swim_bladder	ELU03	F03	F	T18	swim_bladder
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	A02	ELU_F04_T04	F04_heart	ELU04	F04	F	T04	heart
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	B02	ELU_F04_T09	F04_intestine	ELU04	F04	F	T09	intestine
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	C02	ELU_F05_T12	F05_gonads	ELU05	F05	F	T12	gonads
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	D02	ELU_F05_T06	F05_liver	ELU05	F05	F	T06	liver
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	E02	ELU_F05_T17	F05_eye	ELU05	F05	F	T17	eye
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	F02	ELU_F06_T03	F06_gills	ELU06	F06	F	T03	gills
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	G02	ELU_F06_T08	F06_pectoral_fin	ELU06	F06	F	T08	pectoral_fin
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	H02	ELU_F06_T30	F06_blood	ELU06	F06	F	T30	blood
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	A03	ELU_F07_T05	F07_muscle	ELU07	F07	F	T05	muscle
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	B03	ELU_F07_T16	F07_skin	ELU07	F07	F	T16	skin
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	C03	ELU_F08_T02	F08_brain	ELU08	F08	F	T02	brain
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	D03	ELU_F08_T07	F08_kidney	ELU08	F08	F	T07	kidney
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	E03	ELU_F08_T18	F08_swim_bladder	ELU08	F08	F	T18	swim_bladder
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	F03	ELU_F09_T04	F09_heart	ELU09	F09	F	T04	heart
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	G03	ELU_F09_T09	F09_intestine	ELU09	F09	F	T09	intestine
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	H03	ELU_F10_T12	F10_gonads	ELU10	F10	F	T12	gonads
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	A04	ELU_F10_T06	F10_liver	ELU10	F10	F	T06	liver
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	B04	ELU_F10_T17	F10_eye	ELU10	F10	F	T17	eye
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	C04	ELU_M01_T03	M01_gills	ELU01	M01	M	T03	gills
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	E04	ELU_M01_T30	M01_blood	ELU01	M01	M	T30	blood
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	D04	ELU_M01_T08	M01_pectoral_fin	ELU01	M01	M	T08	pectoral_fin
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	F04	ELU_M02_T05	M02_muscle	ELU02	M02	M	T05	muscle
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	G04	ELU_M02_T16	M02_skin	ELU02	M02	M	T16	skin
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	H04	ELU_M03_T02	M03_brain	ELU03	M03	M	T02	brain
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	A05	ELU_M03_T07	M03_kidney	ELU03	M03	M	T07	kidney
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	B05	ELU_M03_T18	M03_swim_bladder	ELU03	M03	M	T18	swim_bladder
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	C05	ELU_M04_T04	M04_heart	ELU04	M04	M	T04	heart
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	D05	ELU_M04_T09	M04_intestine	ELU04	M04	M	T09	intestine
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	E05	ELU_M05_T13	M05_gonads	ELU05	M05	M	T13	gonads
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	F05	ELU_M05_T06	M05_liver	ELU05	M05	M	T06	liver
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	G05	ELU_M05_T17	M05_eye	ELU05	M05	M	T17	eye
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	H05	ELU_M06_T03	M06_gills	ELU06	M06	M	T03	gills
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	A06	ELU_M06_T08	M06_pectoral_fin	ELU06	M06	M	T08	pectoral_fin
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	B06	ELU_M06_T30	M06_blood	ELU06	M06	M	T30	blood
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	C06	ELU_M07_T05	M07_muscle	ELU07	M07	M	T05	muscle
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	D06	ELU_M07_T16	M07_skin	ELU07	M07	M	T16	skin
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	E06	ELU_M08_T02	M08_brain	ELU08	M08	M	T02	brain
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	F06	ELU_M08_T07	M08_kidney	ELU08	M08	M	T07	kidney
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	G06	ELU_M08_T18	M08_swim_bladder	ELU08	M08	M	T18	swim_bladder
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	H06	ELU_M09_T04	M09_heart	ELU09	M09	M	T04	heart
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	A07	ELU_M09_T09	M09_intestine	ELU09	M09	M	T09	intestine
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	B07	ELU_M10_T13	M10_gonads	ELU10	M10	M	T13	gonads
Esox_lucius	AG0012	S2	AG0012_S2	AG0012_S2	C07	ELU_M10_T06	M10_liver	ELU10	M10	M	T06	liver
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	A01	ELU_F01_T03	F01_gills	ELU01	F01	F	T03	gills
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	B01	ELU_F01_T08	F01_pectoral_fin	ELU01	F01	F	T08	pectoral_fin
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	C01	ELU_F01_T30	F01_blood	ELU01	F01	F	T30	blood
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	D01	ELU_F02_T05	F02_muscle	ELU02	F02	F	T05	muscle
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	E01	ELU_F02_T16	F02_skin	ELU02	F02	F	T16	skin
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	F01	ELU_F03_T03	F03_gills	ELU03	F03	F	T03	gills
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	G01	ELU_F03_T08	F03_pectoral_fin	ELU03	F03	F	T08	pectoral_fin
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	H01	ELU_F03_T30	F03_blood	ELU03	F03	F	T30	blood
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	A02	ELU_F04_T05	F04_muscle	ELU04	F04	F	T05	muscle
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	B02	ELU_F04_T16	F04_skin	ELU04	F04	F	T16	skin
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	C02	ELU_F05_T02	F05_brain	ELU05	F05	F	T02	brain
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	D02	ELU_F05_T07	F05_kidney	ELU05	F05	F	T07	kidney
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	E02	ELU_F05_T18	F05_swim_bladder	ELU05	F05	F	T18	swim_bladder
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	F02	ELU_F06_T04	F06_heart	ELU06	F06	F	T04	heart
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	G02	ELU_F06_T09	F06_intestine	ELU06	F06	F	T09	intestine
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	H02	ELU_F07_T12	F07_gonads	ELU07	F07	F	T12	gonads
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	A03	ELU_F07_T06	F07_liver	ELU07	F07	F	T06	liver
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	B03	ELU_F07_T17	F07_eye	ELU07	F07	F	T17	eye
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	C03	ELU_F08_T03	F08_gills	ELU08	F08	F	T03	gills
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	D03	ELU_F08_T08	F08_pectoral_fin	ELU08	F08	F	T08	pectoral_fin
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	E03	ELU_F08_T30	F08_blood	ELU08	F08	F	T30	blood
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	F03	ELU_F09_T05	F09_muscle	ELU09	F09	F	T05	muscle
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	G03	ELU_F09_T16	F09_skin	ELU09	F09	F	T16	skin
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	H03	ELU_F10_T02	F10_brain	ELU10	F10	F	T02	brain
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	A04	ELU_F10_T07	F10_kidney	ELU10	F10	F	T07	kidney
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	B04	ELU_F10_T18	F10_swim_bladder	ELU10	F10	F	T18	swim_bladder
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	C04	ELU_M01_T04	M01_heart	ELU01	M01	M	T04	heart
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	D04	ELU_M01_T09	M01_intestine	ELU01	M01	M	T09	intestine
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	E04	ELU_M02_T13	M02_gonads	ELU02	M02	M	T13	gonads
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	F04	ELU_M02_T06	M02_liver	ELU02	M02	M	T06	liver
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	G04	ELU_M02_T17	M02_eye	ELU02	M02	M	T17	eye
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	H04	ELU_M03_T03	M03_gills	ELU03	M03	M	T03	gills
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	A05	ELU_M03_T08	M03_pectoral_fin	ELU03	M03	M	T08	pectoral_fin
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	B05	ELU_M03_T30	M03_blood	ELU03	M03	M	T30	blood
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	C05	ELU_M04_T05	M04_muscle	ELU04	M04	M	T05	muscle
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	E05	ELU_M05_T02	M05_brain	ELU05	M05	M	T02	brain
Esox_lucius	AG0012	S3	AG0012_S3	AG0012_S3	F05	ELU_M05_T07	M05_kidney	ELU05	M05	M	T07	kidney
