Species	Project	ExtBatch	SeqBatch	ProjectSeqBatch	Batch	Barcode	SampleID	SampleName	IndID	TissueID	Tissue
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	A10	LOC22_T01	LOC22_gills	LOC22	T01	gills
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	A11	LOC22_T10	LOC22_intestine	LOC22	T10	intestine
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	A12	LOC23_T05	LOC23_skin	LOC23	T05	skin
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	B10	LOC22_T02	LOC22_heart	LOC22	T02	heart
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	B11	LOC22_T11	LOC22_muscle	LOC22	T11	muscle
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	B12	LOC23_T06	LOC23_eye	LOC23	T06	eye
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	C10	LOC22_T03	LOC22_brain	LOC22	T03	brain
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	C11	LOC22_T13	LOC22_blood	LOC22	T13	blood
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	C12	LOC23_T07	LOC23_pectoral_fin	LOC23	T07	pectoral_fin
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	D10	LOC22_T04	LOC22_liver	LOC22	T04	liver
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	D12	LOC23_T09	LOC23_swim_bladder	LOC23	T09	swim_bladder
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	E10	LOC22_T05	LOC22_skin	LOC22	T05	skin
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	E11	LOC23_T01	LOC23_gills	LOC23	T01	gills
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	E12	LOC23_T10	LOC23_intestine	LOC23	T10	intestine
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	F10	LOC22_T06	LOC22_eye	LOC22	T06	eye
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	F11	LOC23_T02	LOC23_heart	LOC23	T02	heart
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	F12	LOC23_T11	LOC23_muscle	LOC23	T11	muscle
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	G10	LOC22_T07	LOC22_pectoral_fin	LOC22	T07	pectoral_fin
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	G11	LOC23_T03	LOC23_brain	LOC23	T03	brain
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	G12	LOC23_T13	LOC23_blood	LOC23	T13	blood
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	H10	LOC22_T09	LOC22_swim_bladder	LOC22	T09	swim_bladder
Lepisosteus_oculatus	AG0012	D0	S0	AG0012_S0	AG0012_D0_S0	H11	LOC23_T04	LOC23_liver	LOC23	T04	liver
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	A01	LOC24_T03	LOC24_brain	LOC24	T03	brain
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	A02	LOC28_T05	LOC28_skin	LOC28	T05	skin
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	A03	LOC32_T01	LOC32_gills	LOC32	T01	gills
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	A04	LOC35_T11	LOC35_muscle	LOC35	T11	muscle
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	A05	LOC39_T11	LOC39_muscle	LOC39	T11	muscle
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	A06	LOC24_T10	LOC24_intestine	LOC24	T10	intestine
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	A07	LOC28_T12	LOC28_gonads	LOC28	T12	gonads
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	A08	LOC32_T08	LOC32_kidney	LOC32	T08	kidney
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	A09	LOC36_T11	LOC36_muscle	LOC36	T11	muscle
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	A10	LOC40_T05	LOC40_skin	LOC40	T05	skin
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	A11	LOC24_T04	LOC24_liver	LOC24	T04	liver
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	B01	LOC24_T09	LOC24_swim_bladder	LOC24	T09	swim_bladder
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	B02	LOC28_T11	LOC28_muscle	LOC28	T11	muscle
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	B03	LOC32_T07	LOC32_pectoral_fin	LOC32	T07	pectoral_fin
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	B04	LOC36_T04	LOC36_liver	LOC36	T04	liver
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	B05	LOC40_T04	LOC40_liver	LOC40	T04	liver
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	B06	LOC25_T03	LOC25_brain	LOC25	T03	brain
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	B07	LOC29_T05	LOC29_skin	LOC29	T05	skin
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	B08	LOC33_T01	LOC33_gills	LOC33	T01	gills
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	B09	LOC37_T04	LOC37_liver	LOC37	T04	liver
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	B10	LOC40_T11	LOC40_muscle	LOC40	T11	muscle
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	C01	LOC25_T02	LOC25_heart	LOC25	T02	heart
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	C02	LOC29_T04	LOC29_liver	LOC29	T04	liver
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	C03	LOC32_T13	LOC32_blood	LOC32	T13	blood
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	C04	LOC36_T10	LOC36_intestine	LOC36	T10	intestine
Lepisosteus_oculatus	AMP0027	D3	S2	AMP0027_S2	AMP0027_D3_S2	C05	LOC40_T10	LOC40_intestine	LOC40	T10	intestine
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	C06	LOC25_T09	LOC25_swim_bladder	LOC25	T09	swim_bladder
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	C07	LOC29_T11	LOC29_muscle	LOC29	T11	muscle
Lepisosteus_oculatus	AMP0027	D4	S2	AMP0027_S2	AMP0027_D4_S2	C08	LOC33_T07	LOC33_pectoral_fin	LOC33	T07	pectoral_fin
