"VarCategory"	"GOBPID"	"Term"	"MeanPvalue"	"NConditions"	"EnrichmentTest"	"TestDirection"
"LV"	"GO:0000070"	"mitotic sister chromatid segregation"	0.00712214297339281	1	"GOStats"	"enrichment"
"LV"	"GO:0000075"	"cell cycle checkpoint"	0.0068187877070765	1	"GOStats"	"enrichment"
"LV"	"GO:0000187"	"activation of MAPK activity"	0.00956886533931881	1	"GOStats"	"enrichment"
"LV"	"GO:0000209"	"protein polyubiquitination"	0.00176165579276249	4	"GOStats"	"enrichment"
"LV"	"GO:0000226"	"microtubule cytoskeleton organization"	0.00369937965088613	1	"GOStats"	"enrichment"
"LV"	"GO:0000245"	"spliceosomal complex assembly"	0.000435686479344728	1	"GOStats"	"enrichment"
"LV"	"GO:0000278"	"mitotic cell cycle"	0.00217842849225832	1	"GOStats"	"enrichment"
"LV"	"GO:0000280"	"nuclear division"	0.00269873694398725	2	"GOStats"	"enrichment"
"LV"	"GO:0000281"	"mitotic cytokinesis"	6.54081308287324e-05	1	"GOStats"	"enrichment"
"LV"	"GO:0000349"	"generation of catalytic spliceosome for first transesterification step"	0.00568854853542824	1	"GOStats"	"enrichment"
"LV"	"GO:0000375"	"RNA splicing, via transesterification reactions"	0.000831783248701782	7	"GOStats"	"enrichment"
"LV"	"GO:0000380"	"alternative mRNA splicing, via spliceosome"	0.00459874432967139	2	"GOStats"	"enrichment"
"LV"	"GO:0000381"	"regulation of alternative mRNA splicing, via spliceosome"	0.00384125623312351	2	"GOStats"	"enrichment"
"LV"	"GO:0000393"	"spliceosomal conformational changes to generate catalytic conformation"	0.00412601611060417	1	"GOStats"	"enrichment"
"LV"	"GO:0000398"	"mRNA splicing, via spliceosome"	0.000837365967474064	7	"GOStats"	"enrichment"
"LV"	"GO:0000413"	"protein peptidyl-prolyl isomerization"	0.00925003369415512	1	"GOStats"	"enrichment"
"LV"	"GO:0000460"	"maturation of 5.8S rRNA"	0.00575848036194548	1	"GOStats"	"enrichment"
"LV"	"GO:0000470"	"maturation of LSU-rRNA"	0.00177299146656246	1	"GOStats"	"enrichment"
"LV"	"GO:0000723"	"telomere maintenance"	0.00488291262364282	2	"GOStats"	"enrichment"
"LV"	"GO:0000725"	"recombinational repair"	0.00797826746728608	1	"GOStats"	"enrichment"
