dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	1.4496992756998828	0.8942487707117762	-0.5199567854692914	16.0	1.3862943611198906	0.000136082400161633	macromolecule metabolic process	1. macromolecule metabolic process	['GO:0043170', 'GO:0044260', 'GO:0071704']	GO:0043170	16.0
2	-1.0200646548469678	1.8647241222339324	0.5757882730936683	16.0	1.0986122886681098	0.00117294491580363	protein localization	2. protein localization	['GO:0008104', 'GO:0033036']	GO:0008104	16.0
3	-0.4606432190084738	1.8535567237178578	0.8091018783546912	15.0	1.9459101490553132	0.000216577991347098	intracellular transport	3. intracellular transport	['GO:0006886', 'GO:0046907', 'GO:0006605', 'GO:0016197', 'GO:0051649', 'GO:0051641']	GO:0046907	15.0
4	0.3937674094715431	-2.1092693509761604	0.6491581398196847	15.0	1.0986122886681098	0.000125231315581262	organelle organization	4. organelle organization	['GO:0006996', 'GO:0051276']	GO:0006996	15.0
5	1.4369700390287832	-0.1179204462754684	1.0854657466354167	15.0	1.6094379124341003	0.000723935617709091	ubiquitin-dependent protein catabol...	5. ubiquitin-dependent protein catabol...	['GO:0006511', 'GO:0019941', 'GO:0043632', 'GO:0051603']	GO:0006511	15.0
6	0.5347776201086235	0.6647283655871327	1.585657780480849	14.0	1.791759469228055	0.00166773953370889	cellular protein catabolic process	6. cellular protein catabolic process	['GO:0044257', 'GO:0010498', 'GO:0043161', 'GO:0030163', 'GO:0036503']	GO:0044257	14.0
7	-0.5818446747537804	2.0499047392263603	0.9985103392034552	14.0	1.9459101490553132	0.000546240703805193	cellular protein localization	7. cellular protein localization	['GO:0034613', 'GO:0070727', 'GO:0072594', 'GO:0033365', 'GO:0072657', 'GO:1990778']	GO:0034613	14.0
8	0.5074197418982922	-2.0431252039139607	0.3864096003630518	14.0	1.9459101490553132	0.000428191339300223	cellular component organization	8. cellular component organization	['GO:0007015', 'GO:0016043', 'GO:0071840', 'GO:0022411', 'GO:0061025', 'GO:0061024']	GO:0016043	14.0
9	1.9881095627665941	0.3321981765347464	0.44279600683971354	14.0	1.6094379124341003	0.000191160092638255	RNA processing	9. RNA processing	['GO:0006396', 'GO:0034470', 'GO:0016070', 'GO:0031123']	GO:0006396	14.0
10	0.13823686677507088	0.3008126243708228	1.424932664497392	13.0	1.0986122886681098	0.00178828484623334	gene expression	10. gene expression	['GO:0010467', 'GO:0140053']	GO:0010467	13.0
11	1.0471936647049445	0.08422850687635539	1.192036931682497	12.0	1.9459101490553132	4.02384021410232e-05	mRNA splicing, via spliceosome	11. mRNA splicing, via spliceosome	['GO:0000377', 'GO:0000398', 'GO:0000375', 'GO:0008380', 'GO:0016071', 'GO:0006397']	GO:0000398	12.0
12	1.2787991494695907	-0.15094049154807349	1.2046260035897927	12.0	1.0986122886681098	0.00156012577614559	protein acetylation	12. protein acetylation	['GO:0006473', 'GO:0043543']	GO:0006473	12.0
13	-1.0675979295949471	1.589474584316358	0.5691733463332642	12.0	2.1972245773362196	0.000328876153954174	peptide transport	13. peptide transport	['GO:0015833', 'GO:0042886', 'GO:0071702', 'GO:0006820', 'GO:0051234', 'GO:0006810', 'GO:0051179', 'GO:0071705']	GO:0015833	12.0
14	-1.0774309055805973	2.0293643639245804	0.588828854823334	12.0	1.3862943611198906	0.000203084905365398	protein transport	14. protein transport	['GO:0015031', 'GO:0045184', 'GO:0017038']	GO:0015031	12.0
15	0.4290234233705462	-1.607763015625137	0.9331538130852763	11.0	1.791759469228055	0.000226165502299671	ribonucleoprotein complex biogenesi...	15. ribonucleoprotein complex biogenesi...	['GO:0022613', 'GO:0044085', 'GO:0042254', 'GO:0042273', 'GO:0042274']	GO:0022613	11.0
16	1.7460643643575653	1.0070675818751147	0.3661510442315866	10.0	2.1972245773362196	0.00208926319796892	translation	16. translation	['GO:0006412', 'GO:0043043', 'GO:0006518', 'GO:0034645', 'GO:0009059', 'GO:0043604', 'GO:0043603', 'GO:0044267']	GO:0006412	10.0
17	1.6300612322403898	-1.1698401773922082	1.2812711579458547	10.0	2.1972245773362196	0.00240370796387478	histone acetylation	17. histone acetylation	['GO:0016570', 'GO:0016573', 'GO:0016569', 'GO:0006325', 'GO:0018393', 'GO:0006475', 'GO:0018394', 'GO:0018205']	GO:0016573	10.0
