dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	0.5698506454738695	1.0906727658972828	0.8003700642807042	8.0	1.6094379124341003	0.00112892550698675	establishment of localization in ce...	1. establishment of localization in ce...	['GO:0051649', 'GO:0006886', 'GO:0046907', 'GO:0051641']	GO:0051649	8.0
2	-0.6265707806106838	-0.913473791365666	1.192036931682497	7.0	1.791759469228055	0.000837365967474064	mRNA splicing, via spliceosome	2. mRNA splicing, via spliceosome	['GO:0000375', 'GO:0000398', 'GO:0016071', 'GO:0031124', 'GO:0031123']	GO:0000398	7.0
3	-0.9678119732002459	-0.8319107976527204	0.44279600683971354	6.0	1.9459101490553132	0.00133369490549946	RNA processing	3. RNA processing	['GO:0006396', 'GO:0034470', 'GO:0034641', 'GO:0006807', 'GO:0046483', 'GO:1901360']	GO:0006396	6.0
4	0.10691205216088029	-1.0616269485823524	0.6491581398196847	6.0	2.3978952727983707	0.00192284344115938	organelle organization	4. organelle organization	['GO:0006996', 'GO:0051276', 'GO:0007062', 'GO:0051225', 'GO:0071840', 'GO:0042254', 'GO:0043044', 'GO:0006325', 'GO:0061025', 'GO:0071826']	GO:0006996	6.0
5	1.290008732777937	0.3934449262150978	0.5691733463332642	6.0	1.3862943611198906	0.00207370953962782	peptide transport	5. peptide transport	['GO:0015833', 'GO:0042886', 'GO:0071705']	GO:0015833	6.0
6	0.3300155283422806	1.1103369636851237	1.3776195670764553	5.0	1.9459101490553132	0.00397830022090625	retrograde transport, endosome to G...	6. retrograde transport, endosome to G...	['GO:0016197', 'GO:0042147', 'GO:0016482', 'GO:0032511', 'GO:0007034', 'GO:0071985']	GO:0042147	5.0
7	0.22384584504531657	-1.201447647483346	1.4786606292282796	5.0	1.0986122886681098	0.00371583150079597	vesicle fusion	7. vesicle fusion	['GO:0006906', 'GO:0048284']	GO:0006906	5.0
8	-1.0660618560625916	0.5159201585074279	1.585657780480849	4.0	1.9459101490553132	0.00211116818775269	cellular protein catabolic process	8. cellular protein catabolic process	['GO:0044257', 'GO:0036503', 'GO:0043161', 'GO:0010498', 'GO:0030163', 'GO:0009057']	GO:0044257	4.0
9	1.2346247402908235	0.8159396482676664	0.5757882730936683	4.0	1.0986122886681098	0.00364082102331395	protein localization	9. protein localization	['GO:0008104', 'GO:0033036']	GO:0008104	4.0
10	-1.288708520599525	0.3310468826996128	1.0712052903920135	4.0	1.6094379124341003	0.000660051214954777	modification-dependent protein cata...	10. modification-dependent protein cata...	['GO:0006511', 'GO:0019941', 'GO:0043632', 'GO:0051603']	GO:0019941	4.0
11	0.9117154802157327	0.8284784981980717	1.0520249940531696	3.0	1.9459101490553132	0.0018420865431164	protein localization to membrane	11. protein localization to membrane	['GO:0070727', 'GO:0072657', 'GO:0034613', 'GO:0090150', 'GO:0140056', 'GO:0051640']	GO:0072657	3.0
12	-0.5797301172630899	0.36767581002191346	1.5907321231490608	3.0	2.0794415416798357	0.00415256858916288	protein K63-linked ubiquitination	12. protein K63-linked ubiquitination	['GO:0070534', 'GO:0016567', 'GO:0032446', 'GO:0070647', 'GO:0043412', 'GO:0006464', 'GO:0018205']	GO:0070534	3.0
13	-1.2312423648715285	0.21290333087495422	0.5823763787396545	3.0	1.0986122886681098	0.00250895380010507	cellular catabolic process	13. cellular catabolic process	['GO:0044248', 'GO:1901565']	GO:0044248	3.0
14	1.4858382231240956	0.7590264248539011	0.588828854823334	3.0	1.0986122886681098	0.00330298569370606	protein transport	14. protein transport	['GO:0015031', 'GO:0045184']	GO:0015031	3.0
15	-0.9940486423234891	-0.48764868162697117	0.5757730026422267	3.0	1.6094379124341003	0.00378546176929976	DNA repair	15. DNA repair	['GO:0006281', 'GO:0006974', 'GO:0044260', 'GO:0019538']	GO:0006281	3.0
16	0.8081977016061717	-0.9981962650828757	1.2900345603859167	3.0	1.0986122886681098	0.00469510977055668	visual perception	16. visual perception	['GO:0007601', 'GO:0050877']	GO:0007601	3.0
17	0.4107609953584988	0.4481261808896026	1.4534598861895422	3.0	1.3862943611198906	0.00122168898232	Golgi to plasma membrane transport	17. Golgi to plasma membrane transport	['GO:0006892', 'GO:0006893', 'GO:0016192']	GO:0006893	3.0
18	-0.744297885252543	-0.6697023233374976	-0.3843898097886454	3.0	1.0986122886681098	0.000215718319786934	cellular aromatic compound metaboli...	18. cellular aromatic compound metaboli...	['GO:0006725', 'GO:0090304']	GO:0006725	3.0
19	-0.5844562081004688	-0.03791829722791418	1.188704241750524	3.0	1.0986122886681098	0.00306294513918884	GPI anchor biosynthetic process	19. GPI anchor biosynthetic process	['GO:0006506', 'GO:0046474']	GO:0006506	3.0
20	0.7111584038885592	-0.671646837751311	1.56076368846305	3.0	1.6094379124341003	0.00143574927855385	positive regulation of DNA-template...	20. positive regulation of DNA-template...	['GO:0045899', 'GO:2000144', 'GO:0045944', 'GO:0060260']	GO:2000144	3.0
