Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0002682	GO:0002682	regulation of immune system process	2.396e-03	7.000e+00	2.513e+00	3.066e-03
GO:0002682	GO:0002683	negative regulation of immune system process	5.135e-03	3.000e+00	2.974e+00	1.062e-03
GO:0003009	GO:0003009	skeletal muscle contraction	2.816e-04	1.000e+01	5.313e+00	4.867e-06
GO:0003009	GO:0060048	cardiac muscle contraction	1.738e-03	1.100e+01	4.999e+00	1.003e-05
GO:0003009	GO:0006936	muscle contraction	6.642e-04	8.000e+00	4.241e+00	5.742e-05
GO:0003015	GO:0003015	heart process	2.859e-03	8.000e+00	4.851e+00	1.408e-05
GO:0003015	GO:0008015	blood circulation	2.036e-03	7.000e+00	5.461e+00	3.456e-06
GO:0006163	GO:0006163	purine nucleotide metabolic process	2.977e-03	3.000e+00	1.607e+00	2.471e-02
GO:0006163	GO:0055086	nucleobase-containing small molecule metabolic process	9.502e-04	3.000e+00	1.298e+00	5.040e-02
GO:0006629	GO:0006629	lipid metabolic process	5.895e-04	5.000e+00	1.508e+00	3.104e-02
GO:0006629	GO:0006631	fatty acid metabolic process	3.494e-03	4.000e+00	2.062e+00	8.663e-03
GO:0006694	GO:0006694	steroid biosynthetic process	4.802e-04	8.000e+00	3.446e+00	3.582e-04
GO:0006694	GO:0008202	steroid metabolic process	2.334e-03	6.000e+00	3.199e+00	6.328e-04
GO:0006694	GO:0016125	sterol metabolic process	3.005e-03	4.000e+00	3.570e+00	2.692e-04
GO:0006809	GO:0006809	nitric oxide biosynthetic process	3.700e-03	3.000e+00	4.604e+00	2.487e-05
GO:0006809	GO:0072593	reactive oxygen species metabolic process	3.062e-03	3.000e+00	2.812e+00	1.543e-03
GO:0006942	GO:0006942	regulation of striated muscle contraction	2.133e-03	5.000e+00	4.610e+00	2.456e-05
GO:0006942	GO:0006937	regulation of muscle contraction	1.732e-03	7.000e+00	4.198e+00	6.332e-05
GO:0006942	GO:0090257	regulation of muscle system process	4.195e-03	6.000e+00	4.108e+00	7.799e-05
GO:0006942	GO:0010882	regulation of cardiac muscle contraction by calcium ion signaling	5.304e-03	4.000e+00	5.443e+00	3.605e-06
GO:0006942	GO:0044057	regulation of system process	4.187e-03	6.000e+00	3.726e+00	1.877e-04
GO:0006952	GO:0006952	defense response	1.973e-04	4.000e+00	2.624e+00	2.377e-03
GO:0006952	GO:0098542	defense response to other organism	2.936e-03	4.000e+00	2.731e+00	1.859e-03
GO:0006952	GO:0006954	inflammatory response	1.140e-03	9.000e+00	3.790e+00	1.621e-04
