Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0006364	GO:0006364	rRNA processing	2.541e-03	3.000e+00	2.160e+00	6.923e-03
GO:0006364	GO:0016072	rRNA metabolic process	1.617e-03	3.000e+00	2.144e+00	7.172e-03
GO:0006629	GO:0006629	lipid metabolic process	4.539e-04	3.000e+00	1.508e+00	3.104e-02
GO:0006629	GO:0044255	cellular lipid metabolic process	2.654e-03	3.000e+00	1.646e+00	2.260e-02
GO:0006629	GO:0008610	lipid biosynthetic process	4.828e-03	4.000e+00	1.748e+00	1.787e-02
GO:0006629	GO:0006631	fatty acid metabolic process	2.084e-03	5.000e+00	2.062e+00	8.663e-03
GO:0006629	GO:0032787	monocarboxylic acid metabolic process	2.848e-03	5.000e+00	1.662e+00	2.175e-02
GO:0006629	GO:0006694	steroid biosynthetic process	3.941e-03	5.000e+00	3.446e+00	3.582e-04
GO:0006629	GO:0008202	steroid metabolic process	5.599e-03	6.000e+00	3.199e+00	6.328e-04
GO:0006928	GO:0006928	movement of cell or subcellular component	2.899e-04	3.000e+00	2.460e+00	3.471e-03
GO:0006928	GO:0048870	cell motility	1.453e-03	3.000e+00	2.570e+00	2.692e-03
GO:0006928	GO:0016477	cell migration	9.940e-04	3.000e+00	3.467e+00	3.412e-04
GO:0006928	GO:0060326	cell chemotaxis	5.883e-03	3.000e+00	4.026e+00	9.426e-05
GO:0006928	GO:0030593	neutrophil chemotaxis	3.147e-03	3.000e+00	4.824e+00	1.501e-05
GO:0006928	GO:1990266	neutrophil migration	2.799e-03	3.000e+00	4.749e+00	1.781e-05
GO:0006928	GO:0006935	chemotaxis	4.170e-03	3.000e+00	2.602e+00	2.502e-03
GO:0006928	GO:0040011	locomotion	3.363e-03	4.000e+00	2.291e+00	5.114e-03
GO:0006936	GO:0003012	muscle system process	2.336e-03	5.000e+00	4.162e+00	6.882e-05
GO:0006936	GO:0006936	muscle contraction	2.123e-03	5.000e+00	4.241e+00	5.742e-05
GO:0006936	GO:0006941	striated muscle contraction	4.305e-03	5.000e+00	4.764e+00	1.721e-05
GO:0006936	GO:0050817	coagulation	5.634e-03	3.000e+00	4.107e+00	7.814e-05
GO:0006936	GO:0032501	multicellular organismal process	3.697e-03	6.000e+00	2.515e+00	3.058e-03
GO:0006936	GO:0060048	cardiac muscle contraction	4.854e-03	3.000e+00	4.999e+00	1.003e-05
GO:0006936	GO:0032504	multicellular organism reproduction	2.172e-03	5.000e+00	5.369e+00	4.272e-06
GO:0006936	GO:0019953	sexual reproduction	2.497e-03	4.000e+00	4.821e+00	1.511e-05
GO:0006936	GO:0044703	multi-organism reproductive process	2.497e-03	4.000e+00	4.590e+00	2.571e-05
GO:0006952	GO:0006952	defense response	7.316e-04	4.000e+00	2.624e+00	2.377e-03
GO:0006952	GO:0098542	defense response to other organism	4.074e-03	4.000e+00	2.731e+00	1.859e-03
GO:0006952	GO:0006954	inflammatory response	2.114e-03	4.000e+00	3.790e+00	1.621e-04
GO:0006952	GO:0051707	response to other organism	2.396e-03	6.000e+00	2.233e+00	5.850e-03
GO:0006952	GO:0043207	response to external biotic stimulus	2.396e-03	6.000e+00	2.228e+00	5.918e-03
GO:0006952	GO:0009605	response to external stimulus	2.043e-03	5.000e+00	2.041e+00	9.108e-03
GO:0006952	GO:0009607	response to biotic stimulus	2.298e-03	6.000e+00	2.209e+00	6.186e-03
GO:0006952	GO:0044419	biological process involved in interspecies interaction between organisms	1.529e-03	5.000e+00	1.403e+00	3.951e-02
GO:0006952	GO:0050896	response to stimulus	3.123e-03	5.000e+00	1.401e+00	3.974e-02
GO:0006952	GO:0042221	response to chemical	1.532e-03	4.000e+00	2.478e+00	3.327e-03
GO:0006952	GO:0009410	response to xenobiotic stimulus	4.982e-03	3.000e+00	4.712e+00	1.939e-05
GO:0006952	GO:0070887	cellular response to chemical stimulus	3.604e-03	6.000e+00	3.172e+00	6.723e-04
