dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	-0.11033658527689418	1.1651016906017897	1.1177566243449446	9.0	1.6094379124341003	0.00106636707516114	immune response	1. immune response	['GO:0006955', 'GO:0045087', 'GO:0006956', 'GO:0006959']	GO:0006955	9.0
2	0.22879126013040604	-1.0376328884124097	1.444776260806821	5.0	2.302585092994046	0.00212330792307051	muscle contraction	2. muscle contraction	['GO:0003012', 'GO:0006936', 'GO:0006941', 'GO:0050817', 'GO:0032501', 'GO:0060048', 'GO:0032504', 'GO:0019953', 'GO:0044703']	GO:0006936	5.0
3	-1.0194640445136978	0.11887397289174559	1.3488404318527452	5.0	2.0794415416798357	0.00159102944576435	gamete generation	3. gamete generation	['GO:0007276', 'GO:0048609', 'GO:0048232', 'GO:0007281', 'GO:0022412', 'GO:0003006', 'GO:0022414']	GO:0007276	5.0
4	0.10364276638760017	0.8609549604128068	1.6916924236604651	4.0	1.9459101490553132	0.00693948330849397	cellular response to chemokine	4. cellular response to chemokine	['GO:1990868', 'GO:1990869', 'GO:1901700', 'GO:0071310', 'GO:0009725', 'GO:0010033']	GO:1990869	4.0
5	-0.9754202191315181	-0.5976543450541184	0.9534122345732937	4.0	1.791759469228055	0.00199932437678189	regulation of immune response	5. regulation of immune response	['GO:0032102', 'GO:0050776', 'GO:0032101', 'GO:0002253', 'GO:0050778']	GO:0050776	4.0
6	-0.34636091497101046	1.1249485311077978	0.9647137330464031	4.0	2.5649493574615367	0.000731570683670752	defense response	6. defense response	['GO:0006952', 'GO:0098542', 'GO:0006954', 'GO:0051707', 'GO:0043207', 'GO:0009605', 'GO:0009607', 'GO:0044419', 'GO:0050896', 'GO:0042221', 'GO:0009410', 'GO:0070887']	GO:0006952	4.0
7	0.11910634094698201	0.12521450194123004	0.9890315223561296	4.0	1.0986122886681098	0.00286983124395424	cell adhesion	7. cell adhesion	['GO:0007155', 'GO:0022610']	GO:0007155	4.0
8	1.022834423680124	0.011828737151346996	0.7891600678555183	4.0	2.0794415416798357	0.00498663155936922	carboxylic acid catabolic process	8. carboxylic acid catabolic process	['GO:0016054', 'GO:0046395', 'GO:0044282', 'GO:0019752', 'GO:0043436', 'GO:0006082', 'GO:0044283']	GO:0046395	4.0
9	0.9191016810407647	-0.6287042290967987	0.8456249429469723	3.0	1.6094379124341003	0.00533869730414839	hexose metabolic process	9. hexose metabolic process	['GO:0005996', 'GO:0019318', 'GO:0005975', 'GO:0044281']	GO:0019318	3.0
10	-0.3911097717032016	0.22809894262421596	0.9790378563892169	3.0	1.3862943611198906	0.000454286076428091	ribosome biogenesis	10. ribosome biogenesis	['GO:0022613', 'GO:0042254', 'GO:0042273']	GO:0042254	3.0
11	0.3250885008472689	1.0891742590640054	1.5718213416094449	3.0	1.0986122886681098	0.00246219108693877	wound healing	11. wound healing	['GO:0009611', 'GO:0042060']	GO:0042060	3.0
12	-0.3661252566089179	-0.9929426679539889	1.6196995049648448	3.0	2.5649493574615367	0.00631543083273438	negative regulation of axon extensi...	12. negative regulation of axon extensi...	['GO:0030517', 'GO:0050771', 'GO:0048640', 'GO:0051241', 'GO:0051239', 'GO:0010466', 'GO:0051346', 'GO:0043086', 'GO:0044092', 'GO:0048523', 'GO:0010977', 'GO:0031345']	GO:0030517	3.0
13	0.6973714975404551	-0.30536415629981184	0.7699635610001475	3.0	1.0986122886681098	0.00254095484640984	rRNA processing	13. rRNA processing	['GO:0006364', 'GO:0016072']	GO:0006364	3.0
14	-0.9404994854319697	0.5097858153827837	1.054244809309024	3.0	1.6094379124341003	0.00403102229410585	anatomical structure morphogenesis	14. anatomical structure morphogenesis	['GO:0009653', 'GO:0032502', 'GO:0030154', 'GO:0048869']	GO:0009653	3.0
15	1.1150423663883358	-0.28231377343385367	0.3301624775846229	3.0	1.3862943611198906	0.00579536854546027	nucleotide metabolic process	15. nucleotide metabolic process	['GO:0006753', 'GO:0009117', 'GO:0055086']	GO:0009117	3.0
16	0.9014867477664495	0.3636552035534941	0.41080157254836414	3.0	2.0794415416798357	0.000453949894245662	lipid metabolic process	16. lipid metabolic process	['GO:0006629', 'GO:0044255', 'GO:0008610', 'GO:0006631', 'GO:0032787', 'GO:0006694', 'GO:0008202']	GO:0006629	3.0
17	-0.6808926678684867	-0.4811842660717519	1.2010575564117687	3.0	1.3862943611198906	0.00331629632056794	enzyme linked receptor protein sign...	17. enzyme linked receptor protein sign...	['GO:0007166', 'GO:0007167', 'GO:0070098']	GO:0007167	3.0
18	0.07530439770855842	-0.4193340907845762	0.8999842167288942	3.0	2.1972245773362196	0.000289910179246397	movement of cell or subcellular com...	18. movement of cell or subcellular com...	['GO:0006928', 'GO:0048870', 'GO:0016477', 'GO:0060326', 'GO:0030593', 'GO:1990266', 'GO:0006935', 'GO:0040011']	GO:0006928	3.0
19	-0.6775610369312484	-0.8525061976239067	1.3765325057404005	3.0	1.0986122886681098	0.00682595343404498	hemostasis	19. hemostasis	['GO:0007599', 'GO:0050878']	GO:0007599	3.0
