Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0000398	GO:0000375	RNA splicing, via transesterification reactions	8.318e-04	7.000e+00	3.245e+00	5.686e-04
GO:0000398	GO:0000398	mRNA splicing, via spliceosome	8.374e-04	7.000e+00	3.294e+00	5.084e-04
GO:0000398	GO:0016071	mRNA metabolic process	5.769e-04	6.000e+00	2.320e+00	4.785e-03
GO:0000398	GO:0031124	mRNA 3'-end processing	5.199e-03	3.000e+00	3.918e+00	1.208e-04
GO:0000398	GO:0031123	RNA 3'-end processing	5.721e-03	3.000e+00	3.456e+00	3.501e-04
GO:0006281	GO:0006281	DNA repair	3.785e-03	3.000e+00	1.779e+00	1.665e-02
GO:0006281	GO:0006974	cellular response to DNA damage stimulus	4.125e-03	3.000e+00	1.606e+00	2.477e-02
GO:0006281	GO:0044260	cellular macromolecule metabolic process	2.118e-04	5.000e+00	8.108e-01	1.546e-01
GO:0006281	GO:0019538	protein metabolic process	2.355e-03	5.000e+00	1.007e+00	9.833e-02
GO:0006396	GO:0006396	RNA processing	1.334e-03	6.000e+00	1.557e+00	2.773e-02
GO:0006396	GO:0034470	ncRNA processing	4.928e-03	3.000e+00	1.689e+00	2.046e-02
GO:0006396	GO:0034641	cellular nitrogen compound metabolic process	3.447e-04	4.000e+00	6.079e-01	2.466e-01
GO:0006396	GO:0006807	nitrogen compound metabolic process	4.336e-03	6.000e+00	4.218e-01	3.786e-01
GO:0006396	GO:0046483	heterocycle metabolic process	1.966e-03	4.000e+00	6.788e-01	2.095e-01
GO:0006396	GO:1901360	organic cyclic compound metabolic process	9.229e-04	4.000e+00	6.669e-01	2.153e-01
GO:0006506	GO:0006506	GPI anchor biosynthetic process	3.063e-03	3.000e+00	3.283e+00	5.214e-04
GO:0006506	GO:0046474	glycerophospholipid biosynthetic process	4.302e-03	5.000e+00	2.888e+00	1.295e-03
GO:0006725	GO:0006725	cellular aromatic compound metabolic process	2.157e-04	3.000e+00	6.809e-01	2.085e-01
GO:0006725	GO:0090304	nucleic acid metabolic process	1.824e-03	5.000e+00	8.904e-01	1.287e-01
GO:0006893	GO:0006892	post-Golgi vesicle-mediated transport	5.327e-03	4.000e+00	4.014e+00	9.688e-05
GO:0006893	GO:0006893	Golgi to plasma membrane transport	1.222e-03	3.000e+00	4.278e+00	5.274e-05
GO:0006893	GO:0016192	vesicle-mediated transport	2.741e-03	7.000e+00	2.224e+00	5.977e-03
GO:0006906	GO:0006906	vesicle fusion	3.716e-03	5.000e+00	4.387e+00	4.101e-05
