"GOID"	"Direction"	"TERM"	"ONTOLOGY"	"MeanPvalue"	"MeanFDR"	"NConditions"	"EnrichmentTest"
"GO:0000003"	"Up"	"reproduction"	"BP"	1.79828778355219e-06	0.000222755708367247	2	"cameraPR"
"GO:0000146"	"Up"	"microfilament motor activity"	"MF"	0.00252141778203218	0.035340078582797	1	"cameraPR"
"GO:0000271"	"Up"	"polysaccharide biosynthetic process"	"BP"	0.000407026715938479	0.0177914810292145	1	"cameraPR"
"GO:0000794"	"Up"	"condensed nuclear chromosome"	"CC"	0.000613875459740738	0.0234435807151515	1	"cameraPR"
"GO:0001518"	"Up"	"voltage-gated sodium channel complex"	"CC"	0.000222999844603466	0.0224734287839271	1	"cameraPR"
"GO:0001653"	"Up"	"peptide receptor activity"	"MF"	0.000588583206045973	0.023741697239746	3	"cameraPR"
"GO:0001664"	"Up"	"G protein-coupled receptor binding"	"MF"	0.00206411041920438	0.0430982859158743	2	"cameraPR"
"GO:0001704"	"Up"	"formation of primary germ layer"	"BP"	0.000689066747403605	0.025182393670476	1	"cameraPR"
"GO:0001706"	"Up"	"endoderm formation"	"BP"	0.000606950947994863	0.0239349786883192	1	"cameraPR"
"GO:0001775"	"Up"	"cell activation"	"BP"	0.00157576224933824	0.04166096948487	1	"cameraPR"
"GO:0001819"	"Up"	"positive regulation of cytokine production"	"BP"	0.000946386414627347	0.0195624318497279	1	"cameraPR"
"GO:0001936"	"Up"	"regulation of endothelial cell proliferation"	"BP"	0.00155837234712799	0.0445179124045696	1	"cameraPR"
"GO:0002237"	"Up"	"response to molecule of bacterial origin"	"BP"	0.000964911741974125	0.0196807661373174	1	"cameraPR"
"GO:0002250"	"Up"	"adaptive immune response"	"BP"	0.000476883752694364	0.0129535477458186	2	"cameraPR"
"GO:0002252"	"Up"	"immune effector process"	"BP"	0.000243029186331844	0.00880542584565872	3	"cameraPR"
"GO:0002253"	"Up"	"activation of immune response"	"BP"	0.000262628333509438	0.00933431892316509	4	"cameraPR"
"GO:0002429"	"Up"	"immune response-activating cell surface receptor signaling pathway"	"BP"	0.00367173482098379	0.0448520334361253	1	"cameraPR"
"GO:0002449"	"Up"	"lymphocyte mediated immunity"	"BP"	0.00406409792566808	0.0477169814703035	1	"cameraPR"
"GO:0002455"	"Up"	"humoral immune response mediated by circulating immunoglobulin"	"BP"	0.00338356208207139	0.042637553758347	1	"cameraPR"
"GO:0002460"	"Up"	"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains"	"BP"	0.00191198990595605	0.0306980307933929	1	"cameraPR"
"GO:0002548"	"Up"	"monocyte chemotaxis"	"BP"	0.000433812749613216	0.0224278054883473	5	"cameraPR"
"GO:0002682"	"Up"	"regulation of immune system process"	"BP"	1.65603964732986e-05	0.00135180216121421	2	"cameraPR"
"GO:0002684"	"Up"	"positive regulation of immune system process"	"BP"	0.000297189176628983	0.00918676678820535	3	"cameraPR"
"GO:0002694"	"Up"	"regulation of leukocyte activation"	"BP"	0.00268929813398671	0.0455107387951139	2	"cameraPR"
"GO:0002695"	"Up"	"negative regulation of leukocyte activation"	"BP"	3.24331846529381e-05	0.00213941079856108	1	"cameraPR"
"GO:0002697"	"Up"	"regulation of immune effector process"	"BP"	0.000831727204122635	0.0192153183391155	2	"cameraPR"
"GO:0002700"	"Up"	"regulation of production of molecular mediator of immune response"	"BP"	0.00267983522681071	0.0367978850633369	1	"cameraPR"
"GO:0003006"	"Up"	"developmental process involved in reproduction"	"BP"	4.75038609810618e-07	7.07036828758575e-05	2	"cameraPR"
"GO:0003009"	"Up"	"skeletal muscle contraction"	"BP"	0.000223459543117752	0.00814523282084868	9	"cameraPR"
"GO:0003012"	"Up"	"muscle system process"	"BP"	0.000176429036371566	0.0128371601086039	8	"cameraPR"
"GO:0003044"	"Up"	"regulation of systemic arterial blood pressure mediated by a chemical signal"	"BP"	0.000280315173994923	0.0462265205115264	1	"cameraPR"
"GO:0003810"	"Up"	"protein-glutamine gamma-glutamyltransferase activity"	"MF"	0.00258664478922146	0.0358181194476925	1	"cameraPR"
"GO:0003823"	"Up"	"antigen binding"	"MF"	0.00177931031264431	0.0309715579778661	2	"cameraPR"
"GO:0004252"	"Up"	"serine-type endopeptidase activity"	"MF"	0.000519302258266643	0.0213919102697088	3	"cameraPR"
"GO:0004497"	"Up"	"monooxygenase activity"	"MF"	8.34476240843816e-05	0.00737514689121442	4	"cameraPR"
"GO:0004553"	"Up"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	"MF"	6.38681609368493e-05	0.00386189479798149	1	"cameraPR"
"GO:0004806"	"Up"	"triglyceride lipase activity"	"MF"	9.57396468531016e-05	0.00570072579110837	2	"cameraPR"
"GO:0004857"	"Up"	"enzyme inhibitor activity"	"MF"	0.000746004125563052	0.0261603300223156	3	"cameraPR"
"GO:0004866"	"Up"	"endopeptidase inhibitor activity"	"MF"	0.000151960753091264	0.00838868034330351	11	"cameraPR"
"GO:0004867"	"Up"	"serine-type endopeptidase inhibitor activity"	"MF"	0.000415315498501263	0.0181970696081841	10	"cameraPR"
"GO:0004869"	"Up"	"cysteine-type endopeptidase inhibitor activity"	"MF"	0.000464110701737275	0.0306144295618697	1	"cameraPR"
"GO:0004896"	"Up"	"cytokine receptor activity"	"MF"	0.000258732500677606	0.0120343783648507	1	"cameraPR"
"GO:0004953"	"Up"	"icosanoid receptor activity"	"MF"	0.00351944218534045	0.0436674577723429	1	"cameraPR"
"GO:0005125"	"Up"	"cytokine activity"	"MF"	8.73337948262743e-05	0.00723246307475072	6	"cameraPR"
"GO:0005126"	"Up"	"cytokine receptor binding"	"MF"	0.000118371204668503	0.00636417702532384	5	"cameraPR"
"GO:0005179"	"Up"	"hormone activity"	"MF"	0.000203667718516559	0.0146829447276333	5	"cameraPR"
"GO:0005184"	"Up"	"neuropeptide hormone activity"	"MF"	1.43672318072342e-06	0.000868738616610764	1	"cameraPR"
"GO:0005200"	"Up"	"structural constituent of cytoskeleton"	"MF"	0.000316994443352373	0.0253189721872552	2	"cameraPR"
"GO:0005201"	"Up"	"extracellular matrix structural constituent"	"MF"	5.64081538215886e-05	0.00552314618015512	6	"cameraPR"
"GO:0005212"	"Up"	"structural constituent of eye lens"	"MF"	0.000343458528248023	0.031008731251901	2	"cameraPR"
"GO:0005342"	"Up"	"organic acid transmembrane transporter activity"	"MF"	3.6229469676708e-05	0.00850994264735594	2	"cameraPR"
"GO:0005343"	"Up"	"organic acid:sodium symporter activity"	"MF"	5.93458947533546e-05	0.0136772518343461	1	"cameraPR"
"GO:0005344"	"Up"	"oxygen carrier activity"	"MF"	0.00041141832857248	0.0271386490192902	1	"cameraPR"
"GO:0005501"	"Up"	"retinoid binding"	"MF"	0.000223368570850133	0.0318598489620424	1	"cameraPR"
"GO:0005506"	"Up"	"iron ion binding"	"MF"	0.000464003640423236	0.0193938033152064	3	"cameraPR"
"GO:0005520"	"Up"	"insulin-like growth factor binding"	"MF"	0.000409415095310401	0.0266289620225056	2	"cameraPR"
"GO:0005539"	"Up"	"glycosaminoglycan binding"	"MF"	0.00208172415396401	0.0431839004917543	2	"cameraPR"
"GO:0005581"	"Up"	"collagen trimer"	"CC"	0.000977170642488503	0.0305618542323128	1	"cameraPR"
"GO:0005746"	"Up"	"mitochondrial respirasome"	"CC"	0.000191015291013794	0.0183669261433738	5	"cameraPR"
"GO:0005747"	"Up"	"mitochondrial respiratory chain complex I"	"CC"	0.000122674111120956	0.015377630629185	5	"cameraPR"
"GO:0005861"	"Up"	"troponin complex"	"CC"	2.82204651782577e-05	0.00322118877385548	9	"cameraPR"
"GO:0005865"	"Up"	"striated muscle thin filament"	"CC"	0.000136950491159481	0.00756000546695723	9	"cameraPR"
"GO:0005882"	"Up"	"intermediate filament"	"CC"	0.000349118847446078	0.0105550264877864	1	"cameraPR"
"GO:0005884"	"Up"	"actin filament"	"CC"	0.00281209098112758	0.037501685280565	1	"cameraPR"
"GO:0005923"	"Up"	"bicellular tight junction"	"CC"	0.0041812026026339	0.0483102007718337	1	"cameraPR"
"GO:0005978"	"Up"	"glycogen biosynthetic process"	"BP"	0.000577854068348479	0.0232939395552032	1	"cameraPR"
"GO:0005996"	"Up"	"monosaccharide metabolic process"	"BP"	0.000895068572025678	0.0291316289051418	2	"cameraPR"
"GO:0006066"	"Up"	"alcohol metabolic process"	"BP"	0.00117215203806311	0.0298668061985798	1	"cameraPR"
"GO:0006082"	"Up"	"organic acid metabolic process"	"BP"	0.00237643543400959	0.0492669014547817	1	"cameraPR"
"GO:0006119"	"Up"	"oxidative phosphorylation"	"BP"	8.89815286854878e-05	0.018989705062997	1	"cameraPR"
"GO:0006144"	"Up"	"purine nucleobase metabolic process"	"BP"	0.000995186948408187	0.0318037913663655	2	"cameraPR"
"GO:0006364"	"Up"	"rRNA processing"	"BP"	0.000237680966582541	0.0374915889896286	1	"cameraPR"
"GO:0006575"	"Up"	"cellular modified amino acid metabolic process"	"BP"	0.00115461592599357	0.0451593206077034	1	"cameraPR"
"GO:0006636"	"Up"	"unsaturated fatty acid biosynthetic process"	"BP"	0.000424820465678848	0.0167527027117702	1	"cameraPR"
"GO:0006638"	"Up"	"neutral lipid metabolic process"	"BP"	0.000101705113551886	0.00585692304708319	1	"cameraPR"
"GO:0006639"	"Up"	"acylglycerol metabolic process"	"BP"	0.000101705113551886	0.00585692304708319	1	"cameraPR"
"GO:0006641"	"Up"	"triglyceride metabolic process"	"BP"	0.00028146095721188	0.0118646214254318	2	"cameraPR"
"GO:0006665"	"Up"	"sphingolipid metabolic process"	"BP"	0.00103052747075203	0.0287596435683721	1	"cameraPR"
"GO:0006672"	"Up"	"ceramide metabolic process"	"BP"	0.000213807381932259	0.0102037952292313	1	"cameraPR"
"GO:0006687"	"Up"	"glycosphingolipid metabolic process"	"BP"	0.000308905312281612	0.0124523163661965	1	"cameraPR"
"GO:0006694"	"Up"	"steroid biosynthetic process"	"BP"	3.70255516148621e-05	0.00480306346517344	8	"cameraPR"
"GO:0006695"	"Up"	"cholesterol biosynthetic process"	"BP"	0.000301685341372872	0.0101054337561098	5	"cameraPR"
"GO:0006749"	"Up"	"glutathione metabolic process"	"BP"	0.00146508269034788	0.0495699159201718	1	"cameraPR"
"GO:0006805"	"Up"	"xenobiotic metabolic process"	"BP"	0.000185154337782361	0.0102916433571636	3	"cameraPR"
"GO:0006935"	"Up"	"chemotaxis"	"BP"	0.00161468500452292	0.0276324396057035	1	"cameraPR"
"GO:0006936"	"Up"	"muscle contraction"	"BP"	0.000184452899023906	0.0122680504892612	8	"cameraPR"
"GO:0006937"	"Up"	"regulation of muscle contraction"	"BP"	0.000135823801875144	0.0117016074407277	7	"cameraPR"
"GO:0006941"	"Up"	"striated muscle contraction"	"BP"	9.31224112680736e-05	0.00413540139533854	9	"cameraPR"
"GO:0006952"	"Up"	"defense response"	"BP"	0.000402971378557769	0.0149090205851702	3	"cameraPR"
"GO:0006954"	"Up"	"inflammatory response"	"BP"	0.000253858690101413	0.0148099688060519	5	"cameraPR"
"GO:0006955"	"Up"	"immune response"	"BP"	0.000517512080480411	0.0238182202675392	8	"cameraPR"
"GO:0006956"	"Up"	"complement activation"	"BP"	0.000173254789209289	0.0113663369054042	10	"cameraPR"
"GO:0006958"	"Up"	"complement activation, classical pathway"	"BP"	0.00338356208207139	0.042637553758347	1	"cameraPR"
"GO:0006959"	"Up"	"humoral immune response"	"BP"	0.000109420350014755	0.00930030867619302	10	"cameraPR"
"GO:0007043"	"Up"	"cell-cell junction assembly"	"BP"	0.00133246501141232	0.0243486659676637	1	"cameraPR"
"GO:0007155"	"Up"	"cell adhesion"	"BP"	0.000789155867886534	0.0173878309632225	1	"cameraPR"
"GO:0007159"	"Up"	"leukocyte cell-cell adhesion"	"BP"	0.000546907459117715	0.0138753864453082	1	"cameraPR"
"GO:0007218"	"Up"	"neuropeptide signaling pathway"	"BP"	3.66887620860617e-05	0.00503708348564195	2	"cameraPR"
"GO:0007276"	"Up"	"gamete generation"	"BP"	2.06891797561016e-05	0.00270329613305539	3	"cameraPR"
"GO:0007281"	"Up"	"germ cell development"	"BP"	4.40467820905639e-06	0.00133188248605411	3	"cameraPR"
"GO:0007283"	"Up"	"spermatogenesis"	"BP"	0.00021515548931356	0.0100430287551628	2	"cameraPR"
"GO:0007292"	"Up"	"female gamete generation"	"BP"	1.27059615104469e-07	9.22423125701522e-05	3	"cameraPR"
"GO:0007338"	"Up"	"single fertilization"	"BP"	0.000194890686132437	0.0122003689097538	3	"cameraPR"
"GO:0007339"	"Up"	"binding of sperm to zona pellucida"	"BP"	7.50587658213932e-05	0.00644413621480605	7	"cameraPR"
"GO:0007492"	"Up"	"endoderm development"	"BP"	0.00108765257950845	0.0319484548797804	1	"cameraPR"
"GO:0007548"	"Up"	"sex differentiation"	"BP"	0.000336832073621617	0.0150867501617188	1	"cameraPR"
"GO:0007596"	"Up"	"blood coagulation"	"BP"	0.00137433557161162	0.0213421482725367	3	"cameraPR"
"GO:0007599"	"Up"	"hemostasis"	"BP"	0.00101676866216327	0.0165183772751279	3	"cameraPR"
"GO:0007600"	"Up"	"sensory perception"	"BP"	0.000598290989801199	0.0370283574976348	1	"cameraPR"
"GO:0007601"	"Up"	"visual perception"	"BP"	1.91736799447678e-05	0.00478242144864989	1	"cameraPR"
"GO:0007631"	"Up"	"feeding behavior"	"BP"	9.73007418426899e-05	0.0235338060936853	1	"cameraPR"
"GO:0008009"	"Up"	"chemokine activity"	"MF"	3.32029522654765e-05	0.00468193093467968	8	"cameraPR"
"GO:0008028"	"Up"	"monocarboxylic acid transmembrane transporter activity"	"MF"	0.000655202815578577	0.0199100700792262	3	"cameraPR"
"GO:0008202"	"Up"	"steroid metabolic process"	"BP"	0.000112271644054237	0.00758427720307127	6	"cameraPR"
"GO:0008203"	"Up"	"cholesterol metabolic process"	"BP"	0.00026836149511669	0.0160520521165185	6	"cameraPR"
"GO:0008217"	"Up"	"regulation of blood pressure"	"BP"	0.000418357939885053	0.0166791495154173	1	"cameraPR"
"GO:0008236"	"Up"	"serine-type peptidase activity"	"MF"	0.00154882356498613	0.0388547722409721	2	"cameraPR"
"GO:0008376"	"Up"	"acetylgalactosaminyltransferase activity"	"MF"	0.00181056602906699	0.029857879788432	1	"cameraPR"
"GO:0008395"	"Up"	"steroid hydroxylase activity"	"MF"	0.000126949155636456	0.0115929514421376	4	"cameraPR"
"GO:0008406"	"Up"	"gonad development"	"BP"	0.0016005994010114	0.0483914552239113	1	"cameraPR"
"GO:0008509"	"Up"	"anion transmembrane transporter activity"	"MF"	0.00074216857928932	0.022818539031031	1	"cameraPR"
"GO:0008514"	"Up"	"organic anion transmembrane transporter activity"	"MF"	0.000253990447988545	0.0113762635222524	1	"cameraPR"
"GO:0008528"	"Up"	"G protein-coupled peptide receptor activity"	"MF"	0.000422247401895609	0.0202651314499997	3	"cameraPR"
"GO:0008610"	"Up"	"lipid biosynthetic process"	"BP"	5.25206165753689e-05	0.0272206852764912	1	"cameraPR"
"GO:0009063"	"Up"	"cellular amino acid catabolic process"	"BP"	0.000630773251425626	0.0241872440327217	2	"cameraPR"
"GO:0009072"	"Up"	"aromatic amino acid family metabolic process"	"BP"	0.00047998292882687	0.0215684354763777	4	"cameraPR"
"GO:0009074"	"Up"	"aromatic amino acid family catabolic process"	"BP"	0.000754387997834213	0.0279417899720818	4	"cameraPR"
"GO:0009112"	"Up"	"nucleobase metabolic process"	"BP"	0.00119770081799256	0.0299673004667379	1	"cameraPR"
"GO:0009250"	"Up"	"glucan biosynthetic process"	"BP"	0.000577854068348479	0.0232939395552032	1	"cameraPR"
"GO:0009410"	"Up"	"response to xenobiotic stimulus"	"BP"	0.000216563459936828	0.0102037952292313	1	"cameraPR"
"GO:0009566"	"Up"	"fertilization"	"BP"	0.000140497014073007	0.00948717504690369	3	"cameraPR"
"GO:0009607"	"Up"	"response to biotic stimulus"	"BP"	0.000427747902360173	0.0153119391592882	4	"cameraPR"
"GO:0009611"	"Up"	"response to wounding"	"BP"	0.00100022445495968	0.0287977314437978	2	"cameraPR"
"GO:0009617"	"Up"	"response to bacterium"	"BP"	1.15001602211863e-05	0.00104131300538103	2	"cameraPR"
"GO:0009725"	"Up"	"response to hormone"	"BP"	0.00177627132791954	0.0484534765240007	1	"cameraPR"
"GO:0009897"	"Up"	"external side of plasma membrane"	"CC"	0.000642256146103869	0.0276996597577215	5	"cameraPR"
"GO:0009914"	"Up"	"hormone transport"	"BP"	0.00212920653544219	0.0454397724152015	1	"cameraPR"
"GO:0009986"	"Up"	"cell surface"	"CC"	0.00249233057555821	0.035340078582797	1	"cameraPR"
"GO:0009988"	"Up"	"cell-cell recognition"	"BP"	9.23240421144293e-05	0.0075756212973244	6	"cameraPR"
"GO:0009994"	"Up"	"oocyte differentiation"	"BP"	9.27348646379138e-05	0.00477289422813318	2	"cameraPR"
"GO:0010466"	"Up"	"negative regulation of peptidase activity"	"BP"	0.00044484779954979	0.0164088638071372	9	"cameraPR"
"GO:0010951"	"Up"	"negative regulation of endopeptidase activity"	"BP"	0.000270416887078077	0.0143669552768211	6	"cameraPR"
"GO:0015081"	"Up"	"sodium ion transmembrane transporter activity"	"MF"	5.87677171600946e-05	0.0153433434485748	1	"cameraPR"
"GO:0015144"	"Up"	"carbohydrate transmembrane transporter activity"	"MF"	0.000891693063722829	0.0311063695691002	1	"cameraPR"
"GO:0015267"	"Up"	"channel activity"	"MF"	0.00212308719864859	0.0329169246012697	1	"cameraPR"
"GO:0015276"	"Up"	"ligand-gated ion channel activity"	"MF"	0.00111723084389901	0.021792008073471	1	"cameraPR"
"GO:0015291"	"Up"	"secondary active transmembrane transporter activity"	"MF"	0.000443954796777498	0.0166048247701934	1	"cameraPR"
"GO:0015293"	"Up"	"symporter activity"	"MF"	0.000198766839645224	0.0155285862259949	2	"cameraPR"
"GO:0015370"	"Up"	"solute:sodium symporter activity"	"MF"	0.000514237879993809	0.0258961634209847	4	"cameraPR"
"GO:0015671"	"Up"	"oxygen transport"	"BP"	0.00041141832857248	0.0271386490192902	1	"cameraPR"
"GO:0015711"	"Up"	"organic anion transport"	"BP"	0.00188053524625381	0.0413489810509625	1	"cameraPR"
"GO:0015718"	"Up"	"monocarboxylic acid transport"	"BP"	0.000633028093549375	0.0240197624892693	1	"cameraPR"
"GO:0015849"	"Up"	"organic acid transport"	"BP"	0.000763084054325507	0.0232644449503608	1	"cameraPR"
"GO:0016042"	"Up"	"lipid catabolic process"	"BP"	0.000186610629207828	0.0091489643617027	1	"cameraPR"
"GO:0016051"	"Up"	"carbohydrate biosynthetic process"	"BP"	0.00151853516378226	0.0437241712238256	1	"cameraPR"
"GO:0016054"	"Up"	"organic acid catabolic process"	"BP"	0.00034037946816292	0.0191959935963279	2	"cameraPR"
"GO:0016125"	"Up"	"sterol metabolic process"	"BP"	0.000198559968784708	0.0103014231689911	5	"cameraPR"
"GO:0016126"	"Up"	"sterol biosynthetic process"	"BP"	9.60309852241141e-05	0.0066163785774823	7	"cameraPR"
"GO:0016298"	"Up"	"lipase activity"	"MF"	0.00029133649870457	0.0138376490647625	1	"cameraPR"
"GO:0016411"	"Up"	"acylglycerol O-acyltransferase activity"	"MF"	0.000873672305677939	0.0307736225728113	1	"cameraPR"
"GO:0016528"	"Up"	"sarcoplasm"	"CC"	6.60826703588265e-05	0.00946442353428789	2	"cameraPR"
"GO:0016529"	"Up"	"sarcoplasmic reticulum"	"CC"	4.53586083175395e-05	0.0049849498109475	2	"cameraPR"
"GO:0016584"	"Up"	"nucleosome positioning"	"BP"	0.000468545256562555	0.0298224945755956	1	"cameraPR"
"GO:0016705"	"Up"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	"MF"	0.000104099967536711	0.00900697834682518	3	"cameraPR"
"GO:0016712"	"Up"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	"MF"	9.20313392516816e-06	0.000669666491574727	2	"cameraPR"
"GO:0016755"	"Up"	"transferase activity, transferring amino-acyl groups"	"MF"	0.00148386095019067	0.0261332404237464	1	"cameraPR"
"GO:0016798"	"Up"	"hydrolase activity, acting on glycosyl bonds"	"MF"	0.00023540082654025	0.0107981428115187	1	"cameraPR"
"GO:0017144"	"Up"	"drug metabolic process"	"BP"	0.00021316018507161	0.0123660079800986	3	"cameraPR"
"GO:0017171"	"Up"	"serine hydrolase activity"	"MF"	0.00154882356498613	0.0388547722409721	2	"cameraPR"
"GO:0018108"	"Up"	"peptidyl-tyrosine phosphorylation"	"BP"	0.00249443957826795	0.049590990062365	1	"cameraPR"
"GO:0018149"	"Up"	"peptide cross-linking"	"BP"	0.00211959457779028	0.0379746854644088	2	"cameraPR"
"GO:0019200"	"Up"	"carbohydrate kinase activity"	"MF"	0.00137532145536238	0.0328267515793074	1	"cameraPR"
"GO:0019221"	"Up"	"cytokine-mediated signaling pathway"	"BP"	0.000134049838728864	0.00771956849060823	1	"cameraPR"
"GO:0019318"	"Up"	"hexose metabolic process"	"BP"	0.000402144394400014	0.01618973473556	2	"cameraPR"
"GO:0019825"	"Up"	"oxygen binding"	"MF"	0.00041141832857248	0.0271386490192902	1	"cameraPR"
"GO:0019838"	"Up"	"growth factor binding"	"MF"	0.000681792623532998	0.0231172302633432	1	"cameraPR"
"GO:0019840"	"Up"	"isoprenoid binding"	"MF"	0.000223368570850133	0.0318598489620424	1	"cameraPR"
"GO:0019882"	"Up"	"antigen processing and presentation"	"BP"	0.00083478751616205	0.0189082279043132	3	"cameraPR"
