"Species"	"GeneID"	"PrimaryTissue"	"tau"
"Danio_rerio"	"ENSDARG00000000001"	"ovary"	0.716287677971117
"Danio_rerio"	"ENSDARG00000000002"	"heart"	0.486751474811245
"Danio_rerio"	"ENSDARG00000000018"	"ovary"	0.244915294118262
"Danio_rerio"	"ENSDARG00000000019"	"testis"	0.487957377598543
"Danio_rerio"	"ENSDARG00000000068"	"intestine"	0.439663529340882
"Danio_rerio"	"ENSDARG00000000069"	"liver"	0.374425796608806
"Danio_rerio"	"ENSDARG00000000086"	"testis"	0.628469581437842
"Danio_rerio"	"ENSDARG00000000103"	"heart"	0.229207586835328
"Danio_rerio"	"ENSDARG00000000142"	"ovary"	0.793845883193712
"Danio_rerio"	"ENSDARG00000000151"	"ovary"	0.30057844183137
"Danio_rerio"	"ENSDARG00000000161"	"gills"	0.590328582754058
"Danio_rerio"	"ENSDARG00000000175"	"gills"	0.41128038215939
"Danio_rerio"	"ENSDARG00000000183"	"brain"	0.42925067675085
"Danio_rerio"	"ENSDARG00000000189"	"brain"	0.331604842200809
"Danio_rerio"	"ENSDARG00000000212"	"pectoral_fin"	0.375702779798699
"Danio_rerio"	"ENSDARG00000000229"	"eye"	0.351621784713745
"Danio_rerio"	"ENSDARG00000000241"	"intestine"	0.413686880584513
"Danio_rerio"	"ENSDARG00000000349"	"testis"	0.947498517920536
"Danio_rerio"	"ENSDARG00000000369"	"muscle"	0.725612405621916
"Danio_rerio"	"ENSDARG00000000370"	"brain"	0.768627403439478
"Danio_rerio"	"ENSDARG00000000380"	"eye"	0.706995691090444
"Danio_rerio"	"ENSDARG00000000394"	"brain"	0.12016348350967
"Danio_rerio"	"ENSDARG00000000423"	"ovary"	0.407246953858271
"Danio_rerio"	"ENSDARG00000000442"	"ovary"	0.341430943322215
"Danio_rerio"	"ENSDARG00000000460"	"gills"	0.851619630901237
"Danio_rerio"	"ENSDARG00000000474"	"eye"	0.939611295601265
"Danio_rerio"	"ENSDARG00000000476"	"ovary"	0.576888884976343
"Danio_rerio"	"ENSDARG00000000489"	"testis"	0.117734925593728
"Danio_rerio"	"ENSDARG00000000503"	"brain"	0.54986513907993
"Danio_rerio"	"ENSDARG00000000516"	"testis"	0.920084016737841
"Danio_rerio"	"ENSDARG00000000529"	"testis"	0.48941600712059
"Danio_rerio"	"ENSDARG00000000540"	"ovary"	0.177682552573505
"Danio_rerio"	"ENSDARG00000000542"	"ovary"	0.402286239723713
"Danio_rerio"	"ENSDARG00000000551"	"brain"	0.482873608302249
"Danio_rerio"	"ENSDARG00000000563"	"muscle"	0.524514272736663
"Danio_rerio"	"ENSDARG00000000567"	"brain"	0.17809232530316
"Danio_rerio"	"ENSDARG00000000568"	"muscle"	0.264496806851181
"Danio_rerio"	"ENSDARG00000000588"	"ovary"	0.265539186587133
"Danio_rerio"	"ENSDARG00000000606"	"testis"	0.820042929329276
"Danio_rerio"	"ENSDARG00000000631"	"ovary"	0.279833112611333
"Danio_rerio"	"ENSDARG00000000638"	"eye"	0.704028140815956
"Danio_rerio"	"ENSDARG00000000651"	"heart"	0.425426751814065
"Danio_rerio"	"ENSDARG00000000656"	"intestine"	0.439071288682539
"Danio_rerio"	"ENSDARG00000000666"	"liver"	0.240710301732655
"Danio_rerio"	"ENSDARG00000000690"	"gills"	0.414391656235451
"Danio_rerio"	"ENSDARG00000000729"	"ovary"	0.398326433603547
"Danio_rerio"	"ENSDARG00000000730"	"intestine"	0.302418965311819
"Danio_rerio"	"ENSDARG00000000747"	"eye"	0.622823437761734
"Danio_rerio"	"ENSDARG00000000760"	"ovary"	0.531134836138536
"Danio_rerio"	"ENSDARG00000000767"	"gills"	0.296451282540851
"Danio_rerio"	"ENSDARG00000000779"	"liver"	0.16045433806904
"Danio_rerio"	"ENSDARG00000000796"	"muscle"	0.556025420968178
"Danio_rerio"	"ENSDARG00000000804"	"gills"	0.554097029261281
"Danio_rerio"	"ENSDARG00000000830"	"ovary"	0.401074940675486
"Danio_rerio"	"ENSDARG00000000837"	"ovary"	0.530007032665045
"Danio_rerio"	"ENSDARG00000000853"	"ovary"	0.263243591785773
"Danio_rerio"	"ENSDARG00000000857"	"ovary"	0.227321738824758
"Danio_rerio"	"ENSDARG00000000861"	"testis"	0.134354320748129
"Danio_rerio"	"ENSDARG00000000887"	"ovary"	0.654839555933886
"Danio_rerio"	"ENSDARG00000000906"	"intestine"	0.419871900885854
"Danio_rerio"	"ENSDARG00000000935"	"brain"	0.272962138606257
"Danio_rerio"	"ENSDARG00000000943"	"testis"	0.708026899352495
"Danio_rerio"	"ENSDARG00000000966"	"intestine"	0.106772928455944
"Danio_rerio"	"ENSDARG00000001014"	"intestine"	0.397833086132314
"Danio_rerio"	"ENSDARG00000001015"	"brain"	0.269729417334015
"Danio_rerio"	"ENSDARG00000001057"	"ovary"	0.125702158620675
"Danio_rerio"	"ENSDARG00000001127"	"brain"	0.972941421050943
"Danio_rerio"	"ENSDARG00000001129"	"testis"	0.0914619299301754
"Danio_rerio"	"ENSDARG00000001154"	"brain"	0.890994306033838
"Danio_rerio"	"ENSDARG00000001162"	"brain"	0.13909637594093
"Danio_rerio"	"ENSDARG00000001169"	"ovary"	0.213797309614752
"Danio_rerio"	"ENSDARG00000001210"	"ovary"	0.271937869469548
"Danio_rerio"	"ENSDARG00000001220"	"brain"	0.177808760278864
"Danio_rerio"	"ENSDARG00000001234"	"liver"	0.45481282137655
"Danio_rerio"	"ENSDARG00000001241"	"ovary"	0.123254921496893
"Danio_rerio"	"ENSDARG00000001244"	"brain"	0.0571700210745267
"Danio_rerio"	"ENSDARG00000001249"	"ovary"	0.598403978084327
"Danio_rerio"	"ENSDARG00000001303"	"intestine"	0.329356369838729
"Danio_rerio"	"ENSDARG00000001313"	"testis"	0.733146932591903
"Danio_rerio"	"ENSDARG00000001354"	"liver"	0.824597251623093
"Danio_rerio"	"ENSDARG00000001414"	"gills"	0.780537870636871
"Danio_rerio"	"ENSDARG00000001431"	"muscle"	0.640790410621346
"Danio_rerio"	"ENSDARG00000001442"	"gills"	0.49810605545846
"Danio_rerio"	"ENSDARG00000001447"	"testis"	0.544780163387366
"Danio_rerio"	"ENSDARG00000001452"	"ovary"	0.438192012480722
"Danio_rerio"	"ENSDARG00000001463"	"eye"	0.689512037315869
"Danio_rerio"	"ENSDARG00000001470"	"ovary"	0.507109559672179
"Danio_rerio"	"ENSDARG00000001498"	"testis"	0.564559618388748
"Danio_rerio"	"ENSDARG00000001549"	"ovary"	0.605836121408961
"Danio_rerio"	"ENSDARG00000001557"	"muscle"	0.209278742427385
"Danio_rerio"	"ENSDARG00000001558"	"ovary"	0.620481989592003
"Danio_rerio"	"ENSDARG00000001559"	"brain"	0.765284978652221
"Danio_rerio"	"ENSDARG00000001578"	"heart"	0.204946314752492
"Danio_rerio"	"ENSDARG00000001621"	"ovary"	0.527786741157738
"Danio_rerio"	"ENSDARG00000001634"	"brain"	0.266668877611759
"Danio_rerio"	"ENSDARG00000001656"	"intestine"	0.42090645506165
"Danio_rerio"	"ENSDARG00000001676"	"brain"	0.546018769965849
"Danio_rerio"	"ENSDARG00000001686"	"eye"	0.863342295064843
"Danio_rerio"	"ENSDARG00000001710"	"brain"	0.589411830173683
"Danio_rerio"	"ENSDARG00000001712"	"heart"	0.798931752986806
"Danio_rerio"	"ENSDARG00000001721"	"testis"	0.831078917519646
"Danio_rerio"	"ENSDARG00000001729"	"muscle"	0.121259633293188
"Danio_rerio"	"ENSDARG00000001733"	"eye"	0.31936927172088
"Danio_rerio"	"ENSDARG00000001734"	"testis"	0.140364680594736
"Danio_rerio"	"ENSDARG00000001754"	"ovary"	0.286259681865596
"Danio_rerio"	"ENSDARG00000001760"	"eye"	0.835891409108937
"Danio_rerio"	"ENSDARG00000001767"	"ovary"	0.600219932048642
"Danio_rerio"	"ENSDARG00000001769"	"muscle"	0.379571261826121
"Danio_rerio"	"ENSDARG00000001776"	"ovary"	0.566532491281346
"Danio_rerio"	"ENSDARG00000001777"	"ovary"	0.543095265631205
"Danio_rerio"	"ENSDARG00000001782"	"gills"	0.583888551697207
"Danio_rerio"	"ENSDARG00000001785"	"heart"	0.6743494879882
"Danio_rerio"	"ENSDARG00000001788"	"heart"	0.199038082705372
"Danio_rerio"	"ENSDARG00000001803"	"heart"	0.669536806648411
"Danio_rerio"	"ENSDARG00000001804"	"liver"	0.334909684361216
"Danio_rerio"	"ENSDARG00000001807"	"brain"	0.294226696604676
"Danio_rerio"	"ENSDARG00000001818"	"liver"	0.870613962519386
"Danio_rerio"	"ENSDARG00000001825"	"testis"	0.824830807490507
"Danio_rerio"	"ENSDARG00000001829"	"ovary"	0.163673957093607
"Danio_rerio"	"ENSDARG00000001835"	"testis"	0.824595046937895
"Danio_rerio"	"ENSDARG00000001857"	"gills"	0.487703025419486
"Danio_rerio"	"ENSDARG00000001859"	"brain"	0.764299990722802
"Danio_rerio"	"ENSDARG00000001870"	"intestine"	0.637138582028652
"Danio_rerio"	"ENSDARG00000001873"	"ovary"	0.450813754381567
"Danio_rerio"	"ENSDARG00000001879"	"liver"	0.304568644115617
"Danio_rerio"	"ENSDARG00000001880"	"eye"	0.313084040774105
"Danio_rerio"	"ENSDARG00000001881"	"brain"	0.925247486264616
"Danio_rerio"	"ENSDARG00000001882"	"muscle"	0.820294581275672
"Danio_rerio"	"ENSDARG00000001888"	"testis"	0.408507699702994
"Danio_rerio"	"ENSDARG00000001889"	"brain"	0.449607070296221
"Danio_rerio"	"ENSDARG00000001890"	"liver"	0.14904209734056
"Danio_rerio"	"ENSDARG00000001891"	"eye"	0.830950591384808
"Danio_rerio"	"ENSDARG00000001897"	"intestine"	0.346029061424012
"Danio_rerio"	"ENSDARG00000001898"	"liver"	0.311106494833302
"Danio_rerio"	"ENSDARG00000001906"	"eye"	0.6103004178842
"Danio_rerio"	"ENSDARG00000001909"	"eye"	0.83322094023564
"Danio_rerio"	"ENSDARG00000001910"	"eye"	0.357830811853663
"Danio_rerio"	"ENSDARG00000001912"	"brain"	0.845654912401258
