"Species"	"Bias"	"Tissue"	"Sex"	".y."	"group1"	"group2"	"p"	"p.adj"	"p.format"	"p.signif"	"method"	"Mean_MeanVarRank_Foreground"	"SD_MeanVarRank_Foreground"	"Mean_MeanVarRank_Other"	"SD_MeanVarRank_Other"	"DiffMeans_MeanVarRank"	"GlassDelta"
"Danio_rerio"	"brain"	"brain"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"brain"	"brain"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"brain"	"eye"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	1.52754674609081e-06	2.7e-06	"1.5e-06"	"****"	"Wilcoxon"	0.492639375145057	0.2602632556496	0.527729098772926	0.282497677673854	-0.0350897236278691	-0.124212432175745
"Danio_rerio"	"brain"	"eye"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	6.50375619862007e-17	2.5e-16	"< 2e-16"	"****"	"Wilcoxon"	0.463557811952821	0.265855891463006	0.525719070872383	0.282329966229468	-0.0621612589195629	-0.22017237401233
"Danio_rerio"	"brain"	"intestine"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	3.87537453296166e-74	1.3e-72	"< 2e-16"	"****"	"Wilcoxon"	0.38351607263347	0.256264411194269	0.558580272315145	0.277189686824353	-0.175064199681675	-0.63156822927762
"Danio_rerio"	"brain"	"intestine"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	1.58908765523885e-21	7.1e-21	"< 2e-16"	"****"	"Wilcoxon"	0.441121293016748	0.276225082755754	0.533322952196669	0.280843208844574	-0.0922016591799218	-0.328302968618153
"Danio_rerio"	"brain"	"liver"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	4.75121983942579e-12	1.5e-11	"4.8e-12"	"****"	"Wilcoxon"	0.42613870114354	0.274706488885773	0.522455537032288	0.279747149219744	-0.0963168358887477	-0.344299615411236
"Danio_rerio"	"brain"	"liver"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	4.24591717625315e-16	1.5e-15	"4.2e-16"	"****"	"Wilcoxon"	0.444124119925431	0.281941015932521	0.527314269054226	0.276784037192049	-0.0831901491287944	-0.300559779287677
"Danio_rerio"	"brain"	"gills"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	1.70997209644877e-07	3.4e-07	"1.7e-07"	"****"	"Wilcoxon"	0.477576605430666	0.251456292886987	0.520460294700042	0.269304806580452	-0.042883689269376	-0.159238484503487
"Danio_rerio"	"brain"	"gills"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	1.53909511180799e-21	7.1e-21	"< 2e-16"	"****"	"Wilcoxon"	0.438092943046901	0.254277511945851	0.518725946604762	0.277510588829365	-0.0806330035578606	-0.290558295083436
"Danio_rerio"	"brain"	"pectoral_fin"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	1.78461969509507e-67	4.4e-66	"< 2e-16"	"****"	"Wilcoxon"	0.392129282450805	0.254566456545104	0.546468323224199	0.276095831414188	-0.154339040773395	-0.559005327906821
"Danio_rerio"	"brain"	"pectoral_fin"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	1.79943238344432e-30	1.2e-29	"< 2e-16"	"****"	"Wilcoxon"	0.429759708631453	0.262208280258925	0.532200688385278	0.282283469255119	-0.102440979753825	-0.36290109379817
"Danio_rerio"	"brain"	"ovary"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	3.83312063185788e-08	8.2e-08	"3.8e-08"	"****"	"Wilcoxon"	0.45195121345919	0.266799952644102	0.505342431716711	0.278474956015348	-0.0533912182575212	-0.191727180862105
"Danio_rerio"	"brain"	"ovary"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"brain"	"testis"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"brain"	"testis"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"brain"	0.234690733593054	0.27	"0.23469"	"ns"	"Wilcoxon"	0.49706630460845	0.27837778716635	0.50637976333366	0.274576998241327	-0.00931345872521033	-0.0339192968998251
"Danio_rerio"	"eye"	"brain"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	3.71126017350636e-09	8.5e-09	"3.7e-09"	"****"	"Wilcoxon"	0.563619810876954	0.28099933934743	0.498731703382569	0.283913645070144	0.0648881074943848	0.228548745793297
"Danio_rerio"	"eye"	"brain"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	0.848568595121813	0.87	"0.84857"	"ns"	"Wilcoxon"	0.48935779747718	0.288401491368027	0.486123661848705	0.273321881944117	0.00323413562847485	0.0118326992536079
"Danio_rerio"	"eye"	"eye"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"eye"	"eye"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"eye"	"intestine"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	1.34227138195656e-20	5.7e-20	"< 2e-16"	"****"	"Wilcoxon"	0.415157240452999	0.263758140759973	0.542787949761035	0.280200224613104	-0.127630709308035	-0.455498240532341
"Danio_rerio"	"eye"	"intestine"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	5.45339851975937e-07	1e-06	"5.5e-07"	"****"	"Wilcoxon"	0.455372460496614	0.271207789175533	0.524835429796879	0.282184787171929	-0.0694629693002651	-0.246161283166349
